taxon_id	input	rank
79805	Solenodon paradoxus	species
876679	Crocidura indochinensis	species
71119	Scalopus aquaticus	species
182669	Uropsilus gracilis	species
494514	Vulpes lagopus	species
94188	Cryptoprocta ferox	species
61379	Felis nigripes	species
9690	Panthera onca	species
210647	Helogale parvula	species
37032	Suricata suricatta	species
210652	Mungos mungo	species
95912	Hyaena hyaena	species
30551	Spilogale gracilis	species
9672	Pteronura brasiliensis	species
9664	Mellivora capensis	species
9704	Zalophus californianus	species
9716	Mirounga angustirostris	species
71117	Paradoxurus hermaphroditus	species
9805	Diceros bicornis	species
9802	Tapirus indicus	species
9801	Tapirus terrestris	species
9891	Antilocapra americana	species
302098	Eubalaena japonica	species
59527	Beatragus hunteri	species
330464	Hemitragus hylocrius	species
34875	Saiga tatarica	species
9870	Rangifer tarandus	species
9764	Eschrichtius robustus	species
9833	Hippopotamus amphibius	species
9725	Inia geoffrensis	species
27615	Kogia breviceps	species
40151	Monodon monoceros	species
68415	Moschus moschiferus	species
9742	Phocoena phocoena	species
48752	Platanista minor	species
51154	Catagonus wagneri	species
9849	Tragulus javanicus	species
9760	Ziphius cavirostris	species
48745	Mesoplodon bidens	species
208972	Craseonycteris thonglongyai	species
58069	Hipposideros galeritus	species
9413	Megaderma lyra	species
9438	Tadarida brasiliensis	species
118852	Mormoops blainvillei	species
94963	Noctilio leporinus	species
148065	Micronycteris hirsuta	species
9417	Artibeus jamaicensis	species
40233	Carollia perspicillata	species
171122	Tonatia saurophila	species
27642	Anoura caudifer	species
9407	Rousettus aegyptiacus	species
326083	Macroglossus sobrinus	species
9433	Miniopterus schreibersii	species
59474	Pipistrellus pipistrellus	species
258930	Lasiurus borealis	species
51298	Myotis myotis	species
48086	Lepus americanus	species
51342	Aplodontia rufa	species
34842	Capromys pilorides	species
51338	Castor canadensis	species
143287	Cavia tschudii	species
29091	Dolichotis patagonum	species
42415	Sigmodon hispidus	species
10060	Ondatra zibethicus	species
38674	Onychomys torridus	species
10166	Ctenodactylus gundi	species
43321	Ctenomys sociabilis	species
108852	Cuniculus paca	species
34846	Dasyprocta punctata	species
108858	Dinomys branickii	species
1041416	Orientallactaga bullata	species
160400	Zapus hudsonius	species
41261	Glis glis	species
39082	Muscardinus avellanarius	species
51346	Graphiurus murinus	species
323379	Dipodomys stephensi	species
10149	Hydrochoerus hydrochaeris	species
10137	Hystrix cristata	species
10068	Acomys cahirinus	species
10047	Meriones unguiculatus	species
10157	Myocastor coypus	species
10085	Cricetomys gambianus	species
10183	Petromus typicus	species
234690	Xerus inauris	species
10169	Thryonomys swinderianus	species
9509	Ateles geoffroyi	species
9491	Saguinus imperator	species
9514	Cebus albifrons	species
36227	Cercopithecus neglectus	species
88029	Semnopithecus entellus	species
9538	Erythrocebus patas	species
43780	Nasalis larvatus	species
54133	Pygathrix nemaeus	species
47180	Mirza coquereli	species
9460	Cheirogaleus medius	species
31869	Daubentonia madagascariensis	species
34827	Indri indri	species
13515	Eulemur fulvus	species
9447	Lemur catta	species
9470	Nycticebus coucang	species
230833	Plecturocebus donacophilus	species
43777	Pithecia pithecia	species
482537	Galeopterus variegatus	species
70687	Tupaia tana	species
340076	Chaetophractus vellerosus	species
183749	Tolypeutes matacus	species
27675	Choloepus didactylus	species
71006	Myrmecophaga tridactyla	species
48850	Tamandua tetradactyla	species
77598	Heterohyrax brucei	species
9813	Procavia capensis	species
185453	Chrysochloris asiatica	species
176115	Microgale talazaci	species
28737	Elephantulus edwardii	species
9818	Orycteropus afer	species
9371	Echinops telfairi	species
358128	Phataginus tricuspis	species
48723	Pontoporia blainvillei	species
9419	Macrotus californicus	species
59479	Rhinolophus ferrumequinum	species
27670	Nycticeius humeralis	species
9440	Antrozous pallidus	species
10023	Pedetes capensis	species
53275	Rhizomys pruinosus	species
9355	Bradypus variegatus	species
