	NCBI_taxon_id	Genus	species	family	target_list_status	sequencing_status	synonym	project	data_generation	in_assembly	insdc_open	insdc_submitted	sample_collected	sample_acquired	published	other_priority	long_list	family_representative
0	27704	Gobio	gobio	Gobionidae	other_priority	insdc_open		eurofish	eurofish	eurofish	eurofish	eurofish	eurofish	eurofish		eurofish	eurofish	
1	322563	Proterorhinus	semilunaris	Gobiidae	other_priority	insdc_open		eurofish	eurofish	eurofish	eurofish	eurofish	eurofish	eurofish		eurofish	eurofish	
2	48668	Rutilus	rutilus	Leuciscidae	other_priority	insdc_open		eurofish	eurofish	eurofish	eurofish	eurofish	eurofish	eurofish		eurofish	eurofish	
3	69811	Leuciscus	idus	Leuciscidae	other_priority	insdc_open		eurofish	eurofish	eurofish	eurofish	eurofish	eurofish	eurofish		eurofish	eurofish	
4	38527	Abramis	brama	Leuciscidae	other_priority	insdc_submitted		eurofish	eurofish	eurofish		eurofish	eurofish	eurofish		eurofish	eurofish	
5	40830	Barbus	barbus	Cyprinidae	other_priority	insdc_submitted		eurofish	eurofish	eurofish		eurofish	eurofish	eurofish		eurofish	eurofish	
6	8284	Squalius	cephalus	Leuciscidae	other_priority	insdc_submitted		eurofish	eurofish	eurofish		eurofish	eurofish	eurofish		eurofish	eurofish	
7	155067	Vimba	vimba	Leuciscidae	other_priority	insdc_submitted		eurofish	eurofish	eurofish		eurofish	eurofish	eurofish		eurofish	eurofish	
8	260767	Romanogobio	albipinnatus	Gobionidae	other_priority	insdc_submitted		eurofish	eurofish	eurofish		eurofish	eurofish	eurofish		eurofish	eurofish	
9	210855	Zingel	zingel	Percidae	other_priority	insdc_submitted		eurofish	eurofish	eurofish		eurofish	eurofish	eurofish		eurofish	eurofish	
10	58323	Leucaspius	delineatus	Leuciscidae	other_priority	data_generation		eurofish	eurofish				eurofish	eurofish		eurofish	eurofish	
11	36185	Thymallus	thymallus	Salmonidae	other_priority	in_assembly		eurofish	eurofish	eurofish			eurofish	eurofish		eurofish	eurofish	
12	98928	Aspius	aspius	Leuciscidae	other_priority	in_assembly	Leuciscus aspius	eurofish	eurofish	eurofish			eurofish	eurofish		eurofish	eurofish	
13	69944	Lota	lota	Lotidae	other_priority	data_generation		eurofish	eurofish				eurofish	eurofish		eurofish	eurofish	
14	283035	Sander	lucioperca	Percidae	other_priority	in_assembly		eurofish	eurofish	eurofish			eurofish	eurofish		eurofish	eurofish	
15	7962	Cyprinus	carpio	Cyprinidae	other_priority	in_assembly		eurofish	eurofish	eurofish			eurofish	eurofish		eurofish	eurofish	
16	100952	Cottus	gobio	Cottidae	other_priority	data_generation		eurofish	eurofish				eurofish	eurofish		eurofish	eurofish	
17	57865	Gymnocephalus	cernua	Percidae	other_priority	data_generation		eurofish	eurofish				eurofish	eurofish		eurofish	eurofish	
18	58317	Blicca	bjoerkna	Leuciscidae	other_priority	data_generation		eurofish	eurofish				eurofish	eurofish		eurofish	eurofish	
19	8168	Perca	fluviatilis	Percidae	other_priority	data_generation		eurofish	eurofish				eurofish	eurofish		eurofish	eurofish	
20	58319	Scardinius	erythropthalmus	Leuciscidae	other_priority	data_generation		eurofish	eurofish				eurofish	eurofish		eurofish	eurofish	
21	101364	Carassius	gibelio	Cyprinidae	other_priority	data_generation		eurofish	eurofish				eurofish	eurofish		eurofish	eurofish	
22	51549	Pseudorasbora	parva	Gobionidae	other_priority	data_generation		eurofish	eurofish				eurofish	eurofish		eurofish	eurofish	
