taxon_id	input	rank
7070	Tribolium castaneum	species
197043	Homalodisca vitripennis	species
79782	Cimex lectularius	species
1218281	Limnephilus lunatus	species
286706	Halyomorpha halys	species
6973	Blattella germanica	species
294128	Hyalella azteca	species
38123	Pachypsylla venusta	species
133901	Frankliniella occidentalis	species
438506	Machilis hrabei	species
88015	Eurytemora affinis	species
7536	Oncopeltus fasciatus	species
56086	Gerris buenoi	species
49087	Euperipatoides rowelli	species
114398	Parasteatoda tepidariorum	species
256737	Latrodectus hesperus	species
6921	Loxosceles reclusa	species
52612	Calopteryx splendens	species
123851	Ladona fulva	species
7213	Ceratitis capitata	species
7375	Lucilia cuprina	species
224129	Agrilus planipennis	species
438502	Campodea augens	species
438503	Catajapyx aquilonaris	species
218467	Centruroides sculpturatus	species
1049336	Ephemera danica	species
217634	Anoplophora glabripennis	species
7539	Leptinotarsa decemlineata	species
29053	Copidosoma floridanum	species
7493	Trichogramma pretiosum	species
166361	Onthophagus taurus	species
222816	Orussus abietinus	species
37344	Athalia rosae	species
30195	Bombus terrestris	species
7460	Apis mellifera	species
7463	Apis florea	species
