taxon_id	taxon_rank	scientific_name	tol_id	project	sequencing_status	family	bioproject
7070	species	Tribolium castaneum	"[""icTriCast""]"	i5K	insdc_open	Tenebrionidae	PRJNA12540;PRJNA163993;PRJNA165207;PRJNA167910;PRJNA533106
197043	species	Homalodisca vitripennis	"[""ihHomVitr""]"	i5K	insdc_open	Cicadellidae	PRJNA163973;PRJNA163993;PRJNA168119;PRJNA533106;PRJNA717305;PRJNA776266
79782	species	Cimex lectularius	"[""ihCimLect""]"	i5K	insdc_open	Cimicidae	PRJNA163973;PRJNA163993;PRJNA167477;PRJNA259363;PRJNA533106
1218281	species	Limnephilus lunatus	"[""iiLimLuna""]"	i5K	insdc_open	Limnephilidae	PRJEB40665;PRJEB43510;PRJEB46311;PRJEB48032;PRJEB48033;PRJNA163973;PRJNA163993;PRJNA203303;PRJNA533106
286706	species	Halyomorpha halys	"[""ihHalHaly""]"	i5K	insdc_open	Pentatomidae	PRJNA163973;PRJNA163993;PRJNA168118;PRJNA533106
6973	species	Blattella germanica	"[""ibBlaGerm""]"	i5K	insdc_open	Ectobiidae	PRJNA163973;PRJNA163993;PRJNA203136;PRJNA427252;PRJNA533106
294128	species	Hyalella azteca	"[""qmHyaAzte""]"	i5K	insdc_open	Hyalellidae	PRJNA163973;PRJNA163993;PRJNA243935;PRJNA533106
38123	species	Pachypsylla venusta	"[""ihPacVenu""]"	i5K	insdc_open	Aphalaridae	PRJNA163973;PRJNA163993;PRJNA167476;PRJNA533106;PRJNA603545
133901	species	Frankliniella occidentalis	"[""itFraOcci""]"	i5K	insdc_open	Thripidae	PRJNA163973;PRJNA163993;PRJNA203209;PRJNA533106
438506	species	Machilis hrabei	"[""iaMacHrab""]"	i5K	insdc_open	Machilidae	PRJNA163973;PRJNA163993;PRJNA171753;PRJNA533106
88015	species	Eurytemora affinis	"[""qhEurAffi""]"	i5K	insdc_open	Temoridae	PRJNA163973;PRJNA163993;PRJNA203087;PRJNA533106
7536	species	Oncopeltus fasciatus	"[""ihOncFasc""]"	i5K	insdc_open	Lygaeidae	PRJNA163973;PRJNA163993;PRJNA229125;PRJNA533106
56086	species	Gerris buenoi	"[""ihGerBuen""]"	i5K	insdc_open	Gerridae	PRJNA163973;PRJNA163993;PRJNA203045;PRJNA533106
49087	species	Euperipatoides rowelli	"[""tuEupRowe""]"	i5K	insdc_open	Peripatopsidae	PRJNA163973;PRJNA163993;PRJNA203089;PRJNA533106
114398	species	Parasteatoda tepidariorum	"[""qqParTepi""]"	i5K	insdc_open	Theridiidae	PRJNA163973;PRJNA163993;PRJNA167405;PRJNA533106
256737	species	Latrodectus hesperus	"[""qqLatHesp""]"	i5K	insdc_open	Theridiidae	PRJNA163973;PRJNA163993;PRJNA168123;PRJNA533106
6921	species	Loxosceles reclusa	"[""qqLoxRecl""]"	i5K	insdc_open	Sicariidae	PRJNA163973;PRJNA163993;PRJNA167404;PRJNA533106
