taxon_id	input	rank
111620	Usnea florida	species
40440	Echinodontium tinctorium	species
741139	Lepidopterella palustris	species
705562	Polychaeton citri	species
1395130	Massarina eburnea CBS 473.64	strain
1155946	Melanconium sp. 1 NRRL 54901	species
1897082	Peniophora sp. CONTA	species
5636	Panellus stipticus	species
1496277	Lizonia empirigonia	species
147558	Byssothecium circinans	species
1469910	Ophiobolus disseminans	species
110576	Myrothecium inundatum	species
682080	Polyplosphaeria fusca	species
1323573	Meredithblackwellia eburnea	species
706981	Clathrospora elynae	species
55340	Amylostereum chailletii	species
1450552	Coniochaeta sp. PMI_546	species
40419	Auriscalpium vulgare	species
48021	Artomyces pyxidatus	species
1280837	Meira miltonrushii	species
380016	Loramyces macrosporus	species
1076256	Armillaria solidipes	species
1684307	Pseudomicrostroma glucosiphilum	species
155003	Nia vibrissa	species
1173061	Geotrichum candidum	species
1907221	Teratosphaeria sp. NC1134	species
658196	Glomus cerebriforme	species
690899	Lentithecium fluviatile	species
42810	Entomophaga maimaiga	species
1740738	Pseudocercospora ulei	species
1763456	Calycina marina	species
76405	Cunninghamella echinulata	species
1851185	Syncephalis plumigaleata	species
101115	Spinellus fusiger	species
58915	Robbauera albescens	species
109876	Catenaria anguillulae	species
101123	Pilobolus umbonatus	species
110238	Crepidotus cesatii	species
68771	Laxitextum bicolor	species
1940298	Lyophyllum montanum	species
1954214	Tilletiopsis sp. TKC30	species
1712513	Syncephalis pseudoplumigaleata	species
78915	Thamnocephalis sphaerospora	species
2183100	Urocystis primulicola	species
1340429	Rhizopus microsporus ATCC 52813	strain
706121	Stomiopeltis betulae	species
36921	Microascus trigonosporus	species
1211726	Elmerina caryae	species
1392245	Dothidotthia symphoricarpi CBS 119687	strain
100756	Hericium coralloides	species
131308	Saccharata proteae	species
335852	Apiospora arundinis	species
41833	Umbelopsis ramanniana	species
1346257	Patellaria atrata CBS 101060	strain
1150837	Didymella exigua CBS 183.55	strain
97972	Periconia macrospinosa	species
43439	Wilcoxina mikolae	species
690887	Lophiotrema nucula	species
1397323	Erythrobasidium hasegawianum ATCC 9536	strain
1450536	Guyanagaster necrorhizus MCA 3950	strain
2655010	Melanogaster broomeanus	species
45816	Lindra thalassiae	species
311114	Torpedospora radiata	species
58919	Tilletiopsis washingtonensis	species
4814	Chytriomyces hyalinus	species
1174673	Morchella importuna	species
574789	Mytilinidion resinicola	species
380015	Coccomyces strobi	species
1907213	Mytilinidiaceae sp. NC0267	species
378272	Irpex rosettiformis	species
34485	Entomophthora muscae	species
105714	Pascua guehoae	species
457529	Haglerozyma chiarellii	species
239101	Climacocystis borealis	species
101122	Mucor heterogamus	species
90262	Absidia repens	species
13706	Syncephalastrum racemosum	species
1897646	Russula aff. rugulosa BPL654	species
1883072	Cytidiella melzeri	species
280465	Botryozyma mucatilis	species
1940300	Cristinia sonorae	species
1124678	Dendrothele microspora	species
1555241	Caulochytrium protostelioides	species
559739	Flavodon flavus	species
1983702	Urocystis occulta	species
2614577	Emericellopsis atlantica	species
2789200	Aestipascuomyces dupliciliberans	species
73172	Bulgaria inquinans	species
84746	Melanotaenium endogenum	species
1392246	Amniculicola lignicola CBS 123094	strain
