taxon_id	input	rank
1569484	Lithobius agilis	species
1147027	Lithobius crassipes	species
2015377	Lithobius crassipesoides	species
7552	Lithobius forficatus	species
1569488	Lithobius microps	species
1255756	Lithobius mutabilis	species
1255757	Lithobius nodulipes	species
1147033	Schendyla nemorensis	species
1519113	Protaphorura fimata	species
187695	Sinella curviseta	species
2041972	Supraphorura furcifera	species
1008849	Choneiulus palmatus	species
1008861	Leptoiulus proximus	species
1519098	Campodea silvestrii	species
913654	Fridericia nemoralis	species
913707	Stercutus niveus	species
717519	Epicrius mollis	species
99237	Veigaia nemorensis	species
118551	Zercon	genus
115156	Haplophthalmus danicus	species
64697	Porcellio scaber	species
33330	Trichoniscus pusillus	species
288488	Anatonchus	genus
288489	Anatonchus tridentatus	species
286770	Aporcelaimellus obtusicaudatus	species
473156	Oscheius dolichura	species
708378	Acrogalumna longipluma	species
1979925	Acrotritia duplicata	species
2234146	Allosuctobelba	genus
2664692	Hermanniella dolosa	species
66581	Hypochthonius rufulus	species
128015	Platynothrus peltifer	species
59818	Tyrophagus putrescentiae	species
173049	Cryptops parisi	species
173285	Geophilus carpophagus	species
856749	Geophilus flavus	species
173284	Geophilus truncorum	species
173289	Stigmatogaster subterranea	species
126936	Henia vesuviana	species
115410	Pachymerium ferrugineum	species
1569481	Stenotaenia linearis	species
1255758	Strigamia acuminata	species
1428135	Strigamia crassipes	species
1579475	Strigamia transsilvanica	species
1933610	Agrenia bidenticulata	species
39272	Allacma fusca	species
187597	Anurida granaria	species
187608	Arrhopalites	genus
106916	Bilobella braunerae	species
574228	Bourletiella hortensis	species
928250	Ceratophysella denticulata	species
1218962	Ceratophysella granulata	species
187617	Ceratophysella	genus
1218965	Ceratophysella sigillata	species
187625	Entomobrya	genus
370026	Desoria olivacea	species
1184801	Desoria trispinata	species
2041938	Deuterosminthurus bicinctus	species
1385863	Dicyrtoma fusca	species
1387116	Dicyrtomina minuta	species
438492	Dicyrtomina saundersi	species
1503966	Entomobrya corticalis	species
2041940	Entomobrya muscorum	species
2041941	Entomobrya nicoleti	species
1387109	Entomobrya nivalis	species
247613	Entomobrya multifasciata	species
158441	Folsomia candida	species
1387114	Folsomia fimetaria	species
2041942	Folsomia inoculata	species
266765	Folsomia penicula	species
187628	Friesea truncata	species
2449080	Gisinianus flammeolus	species
254095	Heteromurus nitidus	species
301519	Hydroisotoma schaefferi	species
1725397	Hypogastrura burkilli	species
247611	Isotoma anglicana	species
308473	Isotoma caerulea	species
57735	Isotoma	genus
187635	Isotoma viridis	species
370032	Isotomiella minor	species
370031	Isotomiella	genus
1184803	Isotomurus graminis	species
36143	Isotomurus maculatus	species
36144	Isotomurus palustris	species
1410395	Isotomurus plumosus	species
36142	Isotomurus	genus
48718	Isotomurus unifasciatus	species
247612	Lepidocyrtus cyaneus	species
707889	Lepidocyrtus lignorum	species
49179	Lepidocyrtus paradoxus	species
707891	Lepidocyrtus violaceus	species
1387126	Lipothrix lubbocki	species
2340290	Megalothorax sp. 2 BOLD-2017	species
2651973	Mesaphorura macrochaeta	species
187659	Micranurida	genus
332381	Neelides	genus
1348065	Neelus murinus	species
576794	Orchesella bifasciata	species
48709	Orchesella cincta	species
48711	Orchesella flavescens	species
2581074	Orthonychiurus folsomi	species
2041961	Paratullbergia	genus
511703	Pogonognathellus flavescens	species
707266	Pogonognathellus longicornis	species
301521	Proisotoma minuta	species
