taxon_id	input	rank	suggested
1872030	Dictyna civica	species	Brigittea civica
1594356	Yponomeuta plumbella	species	Yponomeuta plumbellus
261975	Pycnogonum littorale	species	Pycnogonum litorale
1569497	Polydesmus testaceus	species	Propolydesmus testaceus
863632	Haplophilus souletinus	species	Stigmatogaster souletina
875881	Spilosoma lutea	species	Spilarctia lutea
1569477	Julus belgicus	species	Leptoiulus belgicus
494379	Metrioptera roeselii	species	Roeseliana roeselii
722658	Biston strataria	species	Biston stratarius
1594312	Nephopterix angustella	species	Sciota angustella
1594449	Eucalybites auroguttella	species	Euspilapteryx auroguttella
987424	Eilema sororcula	species	Eilema sororculum
42113	Oligochaeta	class	Clitellata
263928	Yponomeuta rorrella	species	Yponomeuta rorrellus
2876618	Ematurga atomaria	species	Hypomecis atomaria
1903275	Macoma balthica	species	Limecola balthica
2589387	Tellina fabula	species	Fabulina fabula
452646	Neovison vison	species	Neogale vison
572890	Hydria undulata	species	Rheumaptera undulata
568174	Cydia funebrana	species	Grapholita funebrana
2566309	Syncopacma taeniolella	species	Aproaerema taeniolella
2866284	Dendrodrilus rubidus	species	Bimastos rubidus
271027	Gyraulus crista	species	Armiger crista
582868	Radix balthica	species	Ampullaceana balthica
1472003	Trioza alacris	species	Lauritrioza alacris
1980407	Tellina tenuis	species	Macomangulus tenuis
1569493	Melogona gallicum	species	Melogona gallica
185214	Liposcelis bostrychophilus	species	Liposcelis bostrychophila
192226	Pisidium casertanum	species	Euglesa casertana
987434	Cirrhia icteritia	species	Xanthia icteritia
2857466	Dichochrysa prasina	species	Apertochrysa prasina
1520482	Kontikia ventrolineata	species	Parakontikia ventrolineata
2903269	Australopacifica atrata	species	Parakontikia atrata
173635	Eriocrania subpurpurella	species	Dyseriocrania subpurpurella
263933	Yponomeuta sedella	species	Yponomeuta sedellus
1241338	Catoptria furcatellus	species	Catoptria furcatella
987445	Chortodes pygmina	species	Chortodes pygminus
228466	Corbula gibba	species	Varicorbula gibba
