taxon_id	input	rank
1594371	Mompha subbistrigella	species
987896	Caradrina kadenii	species
7399	Hymenoptera	order
1920660	Geomitridae	family
336569	Philodromus cespitum	species
1569488	Lithobius microps	species
1569489	Lithobius muticus	species
126936	Henia vesuviana	species
1418174	Cryptops anomalans	species
856749	Geophilus flavus	species
7552	Lithobius forficatus	species
1871975	Megalepthyphantes collinus	species
126940	Lamyctes emarginatus	species
88022	Blaniulidae	family
2850379	Eratigena duellica	species
336591	Larinioides cornutus	species
81834	Enoplognatha ovata	species
1824587	Zilla diodia	species
74980	Pardosa	genus
500645	Tetragnatha montana	species
1871992	Phylloneta sisyphia	species
1593253	Myrmarachne formicaria	species
1112440	Neoscona adianta	species
100976	Tetratrichobothrius flavicaudis	species
286032	Agelena labyrinthica	species
1659926	Dictyna arundinacea	species
31925	Segestria florentina	species
1926196	Meta bourneti	species
61980	Nesticus cellulanus	species
114396	Steatoda triangulosa	species
187159	Labulla thoracica	species
233484	Steatoda bipunctata	species
2834882	Anyphaena numida	species
280361	Amaurobius	genus
473176	Pachygnatha degeeri	species
2750061	Lithobius pilicornis	species
2850378	Eratigena saeva	species
1698855	Eratigena atrica	species
932966	Lepthyphantes leprosus	species
94033	Uloborus plumipes	species
2747131	Steatoda nobilis	species
537451	Leiobunum rotundum	species
500646	Metellina mengei	species
336685	Tibellus oblongus	species
243486	Salticus scenicus	species
173289	Stigmatogaster subterranea	species
1569481	Stenotaenia linearis	species
1008855	Haplopodoiulus spathifer	species
47131	Cylindroiulus	genus
118470	Ophyiulus pilosus	species
2794005	Nanogona polydesmoides	species
1008831	Allajulus nitidus	species
173284	Geophilus truncorum	species
1068628	Polydesmus angustus	species
62005	Glomeris	genus
1255755	Lithobius melanops	species
1569485	Lithobius borealis	species
1147033	Schendyla nemorensis	species
60158	Lithobius variegatus	species
7147	Diptera	order
34687	Stratiomyidae	family
92557	Empididae	family
27474	Tachinidae	family
116130	Eupsilia transversa	species
2611832	Rhytistylus proceps	species
7149	Chironomidae	family
1461384	Limacus maculatus	species
7041	Coleoptera	order
50603	Panorpa germanica	species
6448	Gastropoda	class
381127	Tandonia budapestensis	species
42113	Clitellata	class
1077841	Serratella ignita	species
355390	Stenobothrus lineatus	species
58560	Gomphocerippus rufus	species
166131	Asiraca clavicornis	species
2803879	Zyginidia scutellaris	species
2794000	Canthophorus impressus	species
62794	Tettigonia viridissima	species
41043	Tipula	genus
70895	Coenagrionidae	family
6961	Odonata	order
79454	Coenagrion	genus
320102	Conistra rubiginea	species
287375	Zygaena filipendulae	species
1857961	Agrotis puta	species
233158	Adela reaumurella	species
41812	Chaoborus	genus
2803877	Batracomorphus irroratus	species
29997	Diplura	order
145650	Cernuella virgata	species
7384	Sarcophaga	genus
1073585	Endrosis sarcitrella	species
7509	Siphonaptera	order
1569508	Brachydesmus superus	species
1443160	Saccoglossus horsti	species
6544	Bivalvia	class
39820	Nereididae	family
6821	Amphipoda	order
6103	Actiniaria	order
7713	Ascidiacea	class
51258	Sabella	genus
258330	Ammothea hilgendorfi	species
6683	Decapoda	order
32261	Terebellidae	family
6373	Terebellida	order
136194	Endeis spinosa	species
71505	Philine aperta	species
2922058	Azorinus chamasolen	species
7408	Ichneumonidae	family
758717	Acleris sparsana	species
475346	Poecilocampa populi	species
997290	Thumatha senex	species
997513	Macrochilo cribrumalis	species
92169	Talitridae	family
7205	Tabanidae	family
92558	Dolichopodidae	family
1545162	Metatropis rufescens	species
36150	Cicadella viridis	species
27515	Pompilidae	family
301036	Synanthedon formicaeformis	species
472374	Pedicia	genus
343652	Odontomyia	genus
209691	Ptychoptera	genus
118624	Phalangium opilio	species
1738620	Paidiscura pallens	species
43823	Limoniidae	family
41098	Cantharis	genus
295677	Leiopus	genus
999308	Anthophila fabriciana	species
446512	Mystacides	genus
30263	Trichoptera	order
50645	Limnephilidae	family
77572	Halictidae	family
1134731	Eurygaster testudinaria	species
1209556	Nomophila noctuella	species
1492915	Argyresthia albistria	species
934834	Epione repandaria	species
1594321	Parapoynx stratiotata	species
1594247	Celypha lacunana	species
572725	Argyresthia goedartella	species
1101029	Pandemis corylana	species
172486	Gelis	genus
286670	Pentatoma rufipes	species
1511221	Aelia acuminata	species
226174	Helophilus pendulus	species
1107736	Tetragnatha extensa	species
934888	Philereme vetulata	species
1155755	Pisaura mirabilis	species
1100908	Anania crocealis	species
1100967	Dichomeris alacella	species
214286	Oligia	genus
286075	Clubiona	genus
987935	Euproctis similis	species
104428	Drepana falcataria	species
65288	Netelia	genus
987925	Diarsia rubi	species
326959	Eulithis testata	species
753177	Elophila nymphaeata	species
294303	Chorthippus albomarginatus	species
#ilEilLuri	Eilema lurideola	species
1323534	Conocephalus dorsalis	species
1594343	Scoparia pyralella	species
934889	Plagodis dolabraria	species
875885	Apamea monoglypha	species
722666	Lomaspilis marginata	species
1073604	Blastodacna hellerella	species
7116	Pieris brassicae	species
881489	Leptopterna dolabrata	species
107769	Agabus	genus
177674	Limnephilus	genus
