institutionCode	otherCatalogNumbers	preservative	phylum	class	order	family	genus	specificEpithet	year	sequencing_status	sample_collected	sample_collected_by
NHMUK	NHMUK:ecatalogue:10037421	80% ethanol	Arthropoda	Arachnida	Araneae	Araneidae	Neoscona	adianta	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:10037420	80% ethanol	Arthropoda	Arachnida	Araneae	Tetragnathidae	Metellina	segmentata	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:10037417	80% ethanol	Arthropoda	Diplopoda		Julidae	Cylindroiulus	londinensis	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:10037414	80% ethanol	Arthropoda	Diplopoda		Polydesmidae	Brachydesmus	superus	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:10037412	80% ethanol	Arthropoda	Diplopoda	Polydesmida	Macrosternodesmidae	Macrosternodesmus	palicola	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:10037407	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Braconidae	Blacus	nigricornis	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:10037394	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Tenthredinidae			2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:10037392	80% ethanol	Arthropoda	Arachnida	Araneae	Clubionidae	Clubiona		2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:10037391	80% ethanol	Arthropoda	Arachnida	Araneae	Philodromidae	Philodromus	aureolus	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:10037388	Dry frozen (-80°C)	Arthropoda	Insecta	Diptera	Empididae	Hilara		2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:10037386	Dry frozen (-80°C)	Arthropoda	Insecta	Diptera	Tipulidae	Prionocera	turcica	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:10037384	Dry frozen (-80°C)	Arthropoda	Insecta	Odonata	Coenagrionidae	Pyrrhosoma	nymphula	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:10037382	Dry frozen (-80°C)	Arthropoda	Insecta	Odonata	Coenagrionidae	Enallagma	cyathigerum	2022	sample_collected	DTOL	NHM
