taxon_id	input	rank
8284	Squalius cephalus	species
217509	Carassius carassius	species
27704	Gobio gobio	species
58324	Phoxinus phoxinus	species
58319	Scardinius erythrophthalmus	species
27717	Tinca tinca	species
48668	Rutilus rutilus	species
58325	Leuciscus leuciscus	species
8032	Salmo trutta	species
135647	Barbatula barbatula	species
40830	Barbus barbus	species
38527	Abramis brama	species
134920	Pungitius pungitius	species
69293	Gasterosteus aculeatus	species
7041	Coleoptera	order
987462	Helotropha leucostigma	species
689108	Thera juniperata	species
7408	Ichneumonidae	family
8324	Lissotriton vulgaris	species
7399	Hymenoptera	order
256425	Lissotriton helveticus	species
572746	Dysstroma citrata	species
7147	Diptera	order
1870434	Ypsolopha parenthesella	species
987875	Amphipoea lucens	species
347974	Nabis limbatus	species
41043	Tipula	genus
41819	Ceratopogonidae	family
753179	Eudonia truncicolella	species
934896	Thera obeliscata	species
1804828	Diarsia dahlii	species
758709	Acleris laterana	species
107870	Hydroporus	genus
214030	Anaplectoides prasina	species
1100992	Eudonia mercurella	species
987011	Selenia lunularia	species
721158	Sabra harpagula	species
1280432	Dichomeris ustalella	species
1101153	Salebriopsis albicilla	species
722656	Angerona prunaria	species
934899	Venusia blomeri	species
721156	Ochropacha duplaris	species
411965	Schrankia taenialis	species
934846	Eupithecia egenaria	species
987889	Atolmis rubricollis	species
190335	Abraxas sylvata	species
ilEudLine	Eudonia lineola	species
687152	Phylloporia bistrigella	species
101737	Incurvaria masculella	species
753208	Oecophora bractella	species
753415	Pseudatemelia josephinae	species
7384	Sarcophaga	genus
27474	Tachinidae	family
29997	Diplura	order
296241	Poecilochirus	genus
iaDilHibe	Dilta hibernica	species
219450	Philonthus	genus
394625	Brachycaudus lychnidis	species
7205	Tabanidae	family
50562	Petrobius brevistylis	species
1594371	Mompha subbistrigella	species
1870035	Lithophane leautieri	species
988156	Rhizedra lutosa	species
116128	Epirrita dilutata	species
6341	Polychaeta	class
82378	Amphiura filiformis	species
82379	Amphiura chiajei	species
32261	Terebellidae	family
106738	Amphiuridae	family
37519	Tubularia indivisa	species
2268715	Trivia arctica	species
1545131	Eysarcoris venustissimus	species
36150	Cicadella viridis	species
217225	Aphthona	genus
1545300	Coreus marginatus	species
1545162	Metatropis rufescens	species
347976	Himacerus apterus	species
706294	Xylocoris cursitans	species
1276743	Eupteryx aurata	species
881727	Pilophorus perplexus	species
1081824	Arocatus longiceps	species
71505	Philine aperta	species
1545159	Megalonotus chiragra	species
50645	Limnephilidae	family
185833	Boreus hyemalis	species
29979	Isopoda	order
2561799	Tachystola acroxantha	species
2725004	Caenoplana variegata	species
1008843	Brachyiulus pusillus	species
47131	Cylindroiulus	genus
88022	Blaniulidae	family
1738620	Paidiscura pallens	species
7149	Chironomidae	family
48991	Ephydridae	family
219548	Heleomyzidae	family
881763	Stephanitis takeyai	species
1907025	Opilio canestrinii	species
126940	Lamyctes emarginatus	species
1588083	Enoplognatha mordax	species
ilMomJura	Mompha jurassicella	species
1005081	Caloptilia semifascia	species
988162	Tiliacea aurago	species
1870131	Ochropleura leucogaster	species
7137	Galleria mellonella	species
680436	Kleidocerys resedae	species
925783	Idiocerus	genus
1511224	Deraeocoris lutescens	species
34687	Stratiomyidae	family
1101014	Leucoptera laburnella	species
406638	Ectobius pallidus	species
6961	Odonata	order
938205	Parascotia fuliginaria	species
934888	Philereme vetulata	species
688415	Leucoma salicis	species
987977	Meganola albula	species
1594276	Dichrorampha alpinana	species
987929	Eilema caniola	species
997513	Macrochilo cribrumalis	species
934891	Scopula floslactata	species
997290	Thumatha senex	species
1592913	Procloeon bifidum	species
