taxon_id	input	rank	suggested
419956	Calvia quatuordecimguttata	species	Calvia quattuordecimguttata
987424	Eilema sororcula	species	Eilema sororculum
987475	Rusina ferruginea	species	Charanyca ferruginea
1045602	Gelis ilicicola	species	Gelis liparae
1594312	Nephopterix angustella	species	Sciota angustella
2566949	Macrocentrus linearis	species	Macrocentrus iridescens
1465182	Penestragania apicalis	species	Stragania apicalis
582868	Radix balthica	species	Ampullaceana balthica
192226	Pisidium casertanum	species	Euglesa casertana
271027	Gyraulus crista	species	Armiger crista
2072697	Gibbula umbilicalis	species	Steromphala umbilicaris
356141	Menetus dilatatus	species	Dilatata dilatata
2596854	Gammarus marinus	species	Marinogammarus marinus
987434	Cirrhia icteritia	species	Xanthia icteritia
987445	Denticucullus pygmina	species	Chortodes pygminus
214290	Nycterosea obstipata	species	Orthonama obstipatum
227480	Lochmaea caprea	species	Lochmaea capreae
2857466	Dichochrysa prasina	species	Apertochrysa prasina
1520482	Kontikia ventrolineata	species	Parakontikia ventrolineata
1077833	Baetis muticus	species	Takobia muticus
326965	Phigalia pilosaria	species	Apocheima pilosaria
1872030	Dictyna civica	species	Brigittea civica
173635	Eriocrania subpurpurella	species	Dyseriocrania subpurpurella
295698	Psilothrix viridicoerulea	species	Psilothrix viridicoeruleus
42113	Oligochaeta	class	Clitellata
295815	Subcoccinella vigintiquatuorpunctata	species	Subcoccinella vigintiquattuorpunctata
866103	Aedes annulipes	species	Ochlerotatus annulipes
120877	Aedes rusticus	species	Ochlerotatus rusticus
722658	Biston strataria	species	Biston stratarius
494379	Metrioptera roeselii	species	Roeseliana roeselii
1507105	Brachymeria tibialis	species	Brachymeria minuta
1077842	Baetis atrebatinus	species	Labiobaetis atrebatinus
263933	Yponomeuta sedella	species	Yponomeuta sedellus
568174	Cydia funebrana	species	Grapholita funebrana
1825021	Sapromyza quadripunctata	species	Sapromyzosoma quadripunctata
446513	Mystacides azurea	species	Mystacides azureus
1241338	Catoptria furcatellus	species	Catoptria furcatella
2866284	Dendrodrilus rubidus	species	Bimastos rubidus
1594449	Eucalybites auroguttella	species	Euspilapteryx auroguttella
1594356	Yponomeuta plumbella	species	Yponomeuta plumbellus
875881	Spilosoma lutea	species	Spilarctia lutea
359494	Ibisia marginata	species	Thereva plebeja
1555464	Blastobasis vittata	species	Blastobasis lignea
1825007	Meiosimyza rorida	species	Lyciella rorida
1825004	Meiosimyza illota	species	Lyciella illota
1262309	Meiosimyza decipiens	species	Lyciella decipiens
1100908	Ebulea crocealis	species	Anania crocealis
988114	Paradiarsia glareosa	species	Eugnorisma glareosa
358653	Dorycera aquatica	species	Dorycera graminum
2725526	Setisquamalonchaea fumosa	species	Silba fumosa
2566982	Psychomyia fragilis	species	Metalype fragilis
225723	Plateumaris discolor	species	Plateumaris sericea
878967	Silpha laevigata	species	Ablattaria laevigata
95463	Scatophaga stercoraria	species	Scathophaga stercoraria
359458	Thereva bipunctata	species	Irwiniella frontata
446513	Mystacides nigra	species	Mystacides azureus
874270	Porcellana longicornis	species	Pisidia longicornis
987445	Chortodes pygmina	species	Chortodes pygminus
228466	Corbula gibba	species	Varicorbula gibba
863632	Haplophilus souletinus	species	Stigmatogaster souletina
1037239	Terebellides stroemi	species	Terebellides stroemii
2268709	Maera othonis	species	Othomaera othonis
1980407	Tellina tenuis	species	Macomangulus tenuis
261975	Pycnogonum littorale	species	Pycnogonum litorale
2559853	Echinomaia	genus	Cyrtomaia
190468	Ophelia acuminata	species	Ophelina acuminata
