taxon_id	input	rank
9509	Ateles geoffroyi	species
9514	Cebus albifrons	species
867370	Cercopithecus albogularis	species
9534	Chlorocebus aethiops	species
33548	Colobus guereza	species
31869	Daubentonia madagascariensis	species
9538	Erythrocebus patas	species
30609	Galago moholi	species
593543	Hoolock leuconedys	species
9589	Hylobates pileatus	species
9447	Lemur catta	species
9468	Loris tardigradus	species
75566	Lophocebus aterrimus	species
9551	Macaca assamensis	species
54601	Macaca silenus	species
9561	Mandrillus sphinx	species
9568	Mandrillus leucophaeus	species
9586	Nomascus siki	species
261741	Nycticebus bengalensis	species
9557	Papio hamadryas	species
43777	Pithecia pithecia	species
9600	Pongo pygmaeus	species
310352	Pygathrix nigripes	species
1194336	Rhinopithecus strykeri	species
30586	Saguinus midas	species
9515	Sapajus apella	species
9590	Symphalangus syndactylus	species
272121	Trachypithecus phayrei crepuscula	subspecies
