available_samples_ready	common_name	desc	family	family_representative	family_representative_link	genome_notes	genus	infra_epithet	lab_work_status	marked_done	material_status	order_group	prefix	project_code	sample_count	scientific_name	sequencing_material_status_updated_at	sequencing_status	species_id	submitted_gals	taxon_group	taxon_id	taxon_uri	tissue_depleted	tissue_status	sequencing_status_simple	sequencing_status_dtol	sequencing_status_asg	sequencing_status_ergapi	sequencing_status_vgp	sequencing_status_blax	sequencing_status_durb	sequencing_status_rnd	sequencing_status_lawn	sequencing_status_berri	sequencing_status_meier	sequencing_status_misk	sample_collected	sample_acquired	in_progress
Yes		ACCEPTED	Carabidae				Abax		[{'status': 'HIC_SUBMITTED', 'updated_at': '2023-01-18T20:00:18.063755'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2023-01-17T04:20:21.592173'}, {'status': 'RNA_EXTRACTED', 'updated_at': '2023-08-25T11:26:06.177817'}]	True		Coleoptera	icAbaPara	['DTOL']	10	Abax parallelepipedus		[{'updated_at': '2023-06-14T07:55:36.83382', 'name': 'HIC', 'status': 'COMPLETE'}, {'updated_at': '2023-03-27T07:57:51.107843', 'name': 'PACBIO', 'status': 'COMPLETE'}]	935	NATURAL HISTORY MUSEUM,UNIVERSITY OF OXFORD	Arthropoda	102642		False	Yes	in_progress	in_progress											DTOL	DTOL	DTOL
No		ACCEPTED	Melandryidae				Abdera		[{'status': 'DNA_EXTRACTED', 'updated_at': '2023-05-11T03:00:20.165843'}]		RECOLLECTION_REQUIRED	Coleoptera	icAbdBifl	['DTOL']	1	Abdera biflexuosa	2023-07-12 10:29:54		6292	NATURAL HISTORY MUSEUM	Arthropoda	442079		True	No	in_progress	in_progress											DTOL	DTOL	DTOL
No	NA	ACCEPTED	Melandryidae	{DTOL}	https://goat.genomehubs.org/preview/search?query=tax_tree%28433183%29&fields=HabReg_2017%2CMarHabReg-2017%2Cwaca_1981%2Cisb_wildlife_act_1976%2CProtection_of_Badgers_Act_1992%2CECHabs92&summaryValues=count&result=taxon		Abdera		[{'status': 'HIC_SUBMITTED', 'updated_at': '2022-06-08T10:23:14.103991'}]		RECOLLECTION_REQUIRED	Coleoptera	icAbdQuad	['DTOL']	1	Abdera quadrifasciata		[{'updated_at': '2022-06-08T10:29:35.33106', 'name': 'HIC', 'status': 'COMPLETE'}]	2888	UNIVERSITY OF OXFORD	Arthropoda	433183		True	No	in_progress	in_progress											DTOL	DTOL	DTOL
Yes		ACCEPTED	Cimbicidae	{DTOL}	https://goat.genomehubs.org/preview/search?query=tax_tree%281384715%29&fields=HabReg_2017%2CMarHabReg-2017%2Cwaca_1981%2Cisb_wildlife_act_1976%2CProtection_of_Badgers_Act_1992%2CECHabs92&summaryValues=count&result=taxon		Abia		[{'status': 'HIC_SUBMITTED', 'updated_at': '2022-11-02T20:00:29.595714'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2022-12-12T19:00:12.585711'}]			Hymenoptera	iyAbiAene	['DTOL']	3	Abia aenea		[{'updated_at': '2023-01-25T08:53:55.487022', 'name': 'HIC', 'status': 'COMPLETE'}, {'updated_at': '2022-12-12T19:00:12.689143', 'name': 'PACBIO', 'status': 'IN_PROGRESS'}]	4665	NATURAL HISTORY MUSEUM	Arthropoda	1384715		False	Yes	in_progress	in_progress											DTOL	DTOL	DTOL
No		ACCEPTED	Cimbicidae				Abia		[{'status': 'HIC_SUBMITTED', 'updated_at': '2023-05-31T19:00:08.595016'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2023-06-04T03:20:20.008514'}]		RECOLLECTION_REQUIRED	Hymenoptera	iyAbiCand	['DTOL']	1	Abia candens	2023-10-10 15:33:02	[{'updated_at': '2023-08-21T12:03:02.314388', 'name': 'HIC', 'status': 'COMPLETE'}, {'updated_at': '2023-09-04T08:05:58.179542', 'name': 'PACBIO', 'status': 'COMPLETE'}]	6362	NATURAL HISTORY MUSEUM	Arthropoda	362089		True	No	in_progress	in_progress											DTOL	DTOL	DTOL
No		ACCEPTED	Cimbicidae	{DTOL}	https://goat.genomehubs.org/preview/search?query=tax_tree%28410258%29&fields=HabReg_2017%2CMarHabReg-2017%2Cwaca_1981%2Cisb_wildlife_act_1976%2CProtection_of_Badgers_Act_1992%2CECHabs92&summaryValues=count&result=taxon		Abia		[{'status': 'HIC_SUBMITTED', 'updated_at': '2022-11-02T20:00:31.765501'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2022-11-16T19:00:08.566532'}, {'status': 'RNA_EXTRACTED', 'updated_at': '2023-03-31T10:55:12.818572'}]			Hymenoptera	iyAbiSeri	['DTOL']	3	Abia sericea		[{'updated_at': '2023-01-25T08:53:59.560887', 'name': 'HIC', 'status': 'COMPLETE'}, {'updated_at': '2023-01-16T08:53:35.300524', 'name': 'PACBIO', 'status': 'COMPLETE'}]	4618	NATURAL HISTORY MUSEUM	Arthropoda	410258		True	No	in_progress	in_progress											DTOL	DTOL	DTOL
Yes	Smooth snail-hunter	ACCEPTED	Silphidae				Ablattaria		[{'status': 'HIC_SUBMITTED', 'updated_at': '2021-11-25T19:11:26.837096'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2023-04-19T03:20:13.098238'}]			Coleoptera	icAblLaev	['DTOL']	5	Ablattaria laevigata		[{'updated_at': '2021-12-19T21:22:33.532442', 'name': 'HIC', 'status': 'COMPLETE'}, {'updated_at': '2023-08-03T08:39:14.799327', 'name': 'PACBIO', 'status': 'COMPLETE'}]	2258	NATURAL HISTORY MUSEUM,UNIVERSITY OF OXFORD	Arthropoda	878967		False	Yes	in_progress	in_progress											DTOL	DTOL	DTOL
No	NA	ACCEPTED	Histeridae				Abraeus		[{'status': 'DNA_EXTRACTED', 'updated_at': '2021-10-11T08:48:12.955935'}, {'status': 'HIC_SUBMITTED', 'updated_at': '2021-11-25T19:11:26.974754'}]		RECOLLECTION_REQUIRED	Coleoptera	icAbrPerp	['DTOL']	2	Abraeus perpusillus	2023-04-12 13:51:16	[{'updated_at': '2021-12-19T21:22:34.023931', 'name': 'HIC', 'status': 'COMPLETE'}]	2173	UNIVERSITY OF OXFORD	Arthropoda	1553014			Unk	in_progress	in_progress											DTOL	DTOL	DTOL
Yes	common bream	ACCEPTED	Cyprinidae				Abramis		[{'status': 'PACBIO_SUBMITTED', 'updated_at': '2022-10-04T11:07:44.208068'}, {'status': 'RNA_EXTRACTED', 'updated_at': '2022-08-24T11:30:17.514322'}, {'status': 'TISSUE_SUBSAMPLE', 'updated_at': '2022-02-16T12:07:35.866349'}]			Cypriniformes	fAbrBra	['DTOL']	10	Abramis brama		[{'updated_at': '2022-10-04T11:07:44.245071', 'name': 'PACBIO', 'status': 'IN_PROGRESS'}]	1312	SANGER INSTITUTE	Chordata	38527		False	Yes	in_progress	in_progress											DTOL	DTOL	DTOL
Yes	clouded magpie	ACCEPTED	Geometridae				Abraxas		[{'status': 'HIC_SUBMITTED', 'updated_at': '2023-08-15T19:00:09.860594'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2023-01-04T04:20:09.454839'}, {'status': 'RNA_EXTRACTED', 'updated_at': '2023-08-11T11:21:17.280101'}]			Lepidoptera	ilAbrSylv	['DTOL']	3	Abraxas sylvata		[{'updated_at': '2023-08-15T19:00:10.037447', 'name': 'HIC', 'status': 'IN_PROGRESS'}, {'updated_at': '2023-03-14T08:56:24.545878', 'name': 'PACBIO', 'status': 'COMPLETE'}]	4918	SANGER INSTITUTE	Arthropoda	190335			Unk	in_progress	in_progress											DTOL	DTOL	DTOL
