projectGoldId	projectName	legacyGoldId	studyGoldId	biosampleGoldId	organismGoldId	itsProposalId	itsSpid	itsSampleId	pmoProjectId	gptsProposalId	ncbiBioProjectAccession	ncbiBioSampleAccession	projectStatus	sequencingStatus	jgiFundingProgram	jgiFundingYear	hmpId	modDate	addDate	sequencingStrategy	sequencingCenters	seqMethod	genomePublications	otherPublications	sraExperimentIds	ncbiTaxId
Gp0110560	Dacrymyces ceraceus ATCC 56525		Gs0000001		Go0110089	662	1051227			300789	PRJNA333794	SAMN05442913	Permanent Draft	Complete	CSP	2012		2022-12-27	2015-02-25	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500-1TB']	[]	[]	['SRX2129153', 'SRX2129152']	2901327
Gp0033141	Echinodontium tinctorium Aho-80	Gi22465	Gs0000001		Go0033208	662	1006077			300789	PRJNA263049	SAMN03097698	incomplete	Complete	CSP	2012		2022-12-29	2012-10-31	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX871852', 'SRX871853']	40440
Gp0033215	Polychaeton citri CBS 116435	Gi38957	Gs0000001		Go0033216	662	1011313			300789	PRJNA196013	SAMN02745850	Permanent Draft	Complete	CSP	2012		2022-12-27	2012-11-01	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX874802']	705562
Gp0032376	Phyllosticta citriasiana CBS 120486	Gi38937	Gs0000001		Go0032375	662	1011301			300789	PRJNA243943	SAMN02745768	Permanent Draft	Complete	CSP	2012		2023-02-17	2012-11-01	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX874799', 'SRX6433203', 'SRX874800']	595635
Gp0032377	Backusella circina FSU 941	Gi22543	Gs0000001		Go0032377	662	1015495			300789	PRJNA196083	SAMN02745769	Permanent Draft	Complete	CSP	2012		2022-12-27	2012-11-01	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500', 'PacBio RS II']	[]	[]	['SRX1901258', 'SRX1901247', 'SRX1901246', 'SRX1901257', 'SRX1901256', 'SRX1901245', 'SRX1901255', 'SRX1901244', 'SRX1901249', 'SRX1901259', 'SRX1901248', 'SRX1901250', 'SRX1901260', 'SRX1901254', 'SRX1901243', 'SRX1901253', 'SRX1901252', 'SRX1901251']	64653
Gp0033092	Gymnopilus chrysopellus PR-1187	Gi22467	Gs0000001		Go0033092	662	1006081			300789	PRJNA196058	SAMN02745969	Permanent Draft	Complete	CSP	2012		2022-12-27	2012-10-31	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX874541']	1314804
Gp0033455	Massarina eburnea CBS 473.64	Gi38961	Gs0000001		Go0033455	662	1011361			300789	PRJNA217519	SAMN02745852	Permanent Draft	Complete	CSP	2012		2023-02-17	2012-11-13	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX711624', 'SRX711625']	1395130
Gp0019248	Monascus purpureus NRRL 1596	Gi22207	Gs0000001		Go0019248	662	1006097		407828	300789	PRJNA204098	SAMN00990424	Permanent Draft	Complete	CSP	2012		2022-12-27	2012-03-06	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX1870127']	1149898
Gp0019267	Melanconium sp. NRRL 54901	Gi0024754	Gs0000001		Go0019267	662			407826	300789	PRJNA207856	SAMN02745682	Permanent Draft	Complete	CSP	2012		2017-09-01	2012-03-06	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina']	[]	[]	[]	1155946
Gp0046779	Peniophora sp. CONTA	Gi0054791	Gs0000001		Go0046779	662	1027012			300789	PRJNA262385	SAMN05660921	Permanent Draft	Complete	CSP	2012		2022-12-27	2013-09-19	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500', 'Illumina HiSeq 2500-1TB']	[]	[]	['SRX2112372', 'SRX2112373']	1897082
Gp0034226	Peniophora sp. CONT	Gi22660	Gs0000001		Go0034226	662	1016299			300789	PRJNA196016	SAMN02195013	Permanent Draft	Complete	CSP	2012		2022-12-30	2012-12-12	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[{'pubmedId': 26659563, 'journalName': 'Molecular biology and evolution', 'volume': '33', 'issue': '4', 'page': '959-70', 'title': 'Comparative Genomics of Early-Diverging Mushroom-Forming Fungi Provides Insights into the Origins of Lignocellulose Decay Capabilities.', 'publicationDate': '2016-02-01', 'doi': '10.1093/molbev/msv337'}]	[{'pubmedId': 30886374, 'journalName': 'Nature ecology & evolution', 'volume': None, 'issue': None, 'page': None, 'title': 'Megaphylogeny resolves global patterns of mushroom evolution.', 'publicationDate': '2019-02-01', 'doi': '10.1038/s41559-019-0834-1'}]	['SRX875133', 'SRX299337']	40463
Gp0034230	Cylindrobasidium torrendii FP15055 ss-10	Gi22664	Gs0000001		Go0034230	662	1016295			300789	PRJNA196018	SAMN02744996	Permanent Draft	Complete	CSP	2012		2022-12-27	2012-12-12	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[{'pubmedId': 25683379, 'journalName': 'Fungal Genet. Biol.', 'volume': '76', 'issue': None, 'page': '78-92', 'title': 'Evolution of novel wood decay mechanisms in Agaricales revealed by the genome sequences of Fistulina hepatica and Cylindrobasidium torrendii.', 'publicationDate': '2015-02-01', 'doi': '10.1016/j.fgb.2015.02.002'}]	[]	['SRX875132']	394432
