	NCBI_taxon_id	Genus	species	family	target_list_status	sequencing_status	synonym	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	insdc_submitted	insdc_open	published
0	1569484	Lithobius	agilis	Lithobiidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
1	1147027	Lithobius	crassipes	Lithobiidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
2	2015377	Lithobius	crassipesoides	Lithobiidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
3	7552	Lithobius	forficatus	Lithobiidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
4	1569488	Lithobius	microps	Lithobiidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
5	1255756	Lithobius	mutabilis	Lithobiidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
6	1255757	Lithobius	nodulipes	Lithobiidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
7	1147033	Schendyla	nemorensis	Schendylidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
8	1519113	Protaphorura	fimata	Onychiuridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
9	187695	Sinella	curviseta	Entomobryidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
10	2041972	Supraphorura	furcifera	Onychiuridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
11	1008849	Choneiulus	palmatus	Blaniulidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
12	1008861	Leptoiulus	proximus	Julidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
13	1519098	Campodea	silvestrii	Campodeidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
14	913654	Fridericia	nemoralis	Enchytraeidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
15	913707	Stercutus	niveus	Enchytraeidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
16	717519	Epicrius	mollis	Epicriidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
17	99237	Veigaia	nemorensis	Veigaiidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
18	118551	Zercon	vagabundus	Zerconidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
19	115156	Haplophthalmus	danicus	Trichoniscidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
20	64697	Porcellio	scaber	Porcellionidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
21	33330	Trichoniscus	pusillus	Trichoniscidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
22	288488	Anatonchus		Anatonchidae		in_assembly	cf. genovi	metainvert			metainvert	metainvert	metainvert			
23	288489	Anatonchus	tridentatus	Anatonchidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
24	286770	Aporcelaimellus	obtusicaudatus	Aporcelaimidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
25	473156	Dolichorhabditis	dolichura	Rhabditidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
26	NA	Truxonchus	dolichurus	NA		in_assembly		metainvert			metainvert	metainvert	metainvert			
27	708378	Acrogalumna	longipluma	Galumnidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
28	1979925	Acrotritia	duplicata	Euphthiracaridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
29	2234146	Allosuctobelba	grandis	Suctobelbidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
30	2664692	Hermanniella	dolosa	Hermanniellidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
31	66581	Hypochthonius	rufulus	Hypochthoniidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
32	128015	Platynothrus	peltifer	Camisiidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
33	59818	Tyrophagus	putrescentiae	Acaridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
34	173049	Cryptops	parisi	Cryptopidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
35	173285	Geophilus	carpophagus	Geophilidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
36	856749	Geophilus	flavus	Geophilidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
37	173284	Geophilus	truncorum	Geophilidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
