institutionCode	otherCatalogNumbers	preservative	phylum	class	order	family	genus	specificEpithet	year	sequencing_status	sample_collected	sample_collected_by
NHMUK	9968908	Dry frozen (-80°C)		Actinopterygii	Aulopiformes	Synodontidae	Bathysaurus	sp	2022	sample_collected	DTOL	NHM
NHMUK	9802771	Dry - pinned	Arthropoda	Insecta	Lepidoptera	Crambidae	Musotima	nitidalis	2021	sample_collected	DTOL	NHM
NHMUK	10450997	Dry frozen (-80°C)	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Serica	brunnea	2023	sample_collected	DTOL	NHM
NHMUK	10450995	Dry frozen (-80°C)	Arthropoda	Insecta	Lepidoptera	Tortricidae	Pammene	giganteana	2023	sample_collected	DTOL	NHM
NHMUK	10450996	Dry frozen (-80°C)	Arthropoda	Insecta	Lepidoptera	Depressariidae	Agonopterix	heracliana	2023	sample_collected	DTOL	NHM
NHMUK	10451003	Dry frozen (-80°C)	Arthropoda	Insecta	Coleoptera	Silphidae	Silpha	tristis	2023	sample_collected	DTOL	NHM
NHMUK	10451046	Dry frozen (-80°C)	Arthropoda	Insecta	Lepidoptera	Yponomeutidae	Argyresthia	pruniella	2023	sample_collected	DTOL	NHM
NHMUK	10451047	Dry frozen (-80°C)	Arthropoda	Insecta	Lepidoptera	Yponomeutidae	Argyresthia	pruniella	2023	sample_collected	DTOL	NHM
NHMUK	9171327	Ethanol	Arthropoda	Insecta	Plecoptera	Leuctridae	Leuctra	nigra	2019	sample_collected	DTOL	NHM
NHMUK	9171434	Ethanol	Arthropoda	Insecta	Plecoptera	Leuctridae	Leuctra	nigra	2019	sample_collected	DTOL	NHM
NHMUK	9171429	Ethanol	Arthropoda	Insecta	Plecoptera	Leuctridae	Leuctra	nigra	2019	sample_collected	DTOL	NHM
NHMUK	9172416	Ethanol	Arthropoda	Insecta	Plecoptera	Leuctridae	Leuctra	nigra	2019	sample_collected	DTOL	NHM
NHMUK	9180141	Ethanol	Arthropoda	Insecta	Plecoptera	Leuctridae	Leuctra	nigra	2019	sample_collected	DTOL	NHM
NHMUK	9180143	Ethanol	Arthropoda	Insecta	Plecoptera	Leuctridae	Leuctra	nigra	2019	sample_collected	DTOL	NHM
NHMUK	9248224	Liquid Nitrogen	Arthropoda	Insecta	Orthoptera	Acrididae	Stenobothrus	lineatus	2020	sample_collected	DTOL	NHM
NHMUK	9254424	100% ethanol	Annelida	Clitellata	Haplotaxida	Lumbricidae	Octolasion	cyaneum	2019	sample_collected	DTOL	NHM
NHMUK	9248076	80% ethanol	Annelida	Polychaeta	Terebellida	Terebellidae	Eupolymnia	nebulosa	2020	sample_collected	DTOL	NHM
NHMUK	9248004	Liquid Nitrogen	Annelida	Clitellata	Haplotaxida	Lumbricidae	Aporrectodea	caliginosa	2020	sample_collected	DTOL	NHM
NHMUK	9254429	100% ethanol	Annelida	Clitellata	Haplotaxida	Lumbricidae	Bimastos	eiseni	2019	sample_collected	DTOL	NHM
