"common_name"	"family"	"order"	"scientific_name"	"status"	"taxon_id"	long_list	sample_collected	sample_acquired	in_progress	insdc_submitted	insdc_open	published
"chicken"	"Phasianidae"	"Galliformes"	"Gallus gallus"	"7-asm_curated"	"9031"	VGP	VGP	VGP	VGP			
"gold dust stingray"	"Potamotrygonidae"	"Myliobatiformes"	"Potamotrygon marinae"	"4-asm_progress"	"000000"	VGP	VGP	VGP	VGP			
"royal ground snake"	"Dipsadidae"	"Squamata"	"Erythrolamprus reginae"	"3-data_done"	"121349"	VGP	VGP	VGP	VGP			
"Puerto Rican coqui"	"Eleutherodactylidae"	"Anura"	"Eleutherodactylus coqui"	"1-DNA_isolation"	"57060"	VGP	VGP	VGP	VGP			
"vaquita"	"Phocoenidae"	"Artiodactyla"	"Phocoena sinus"	"8-NCBI"	"42100"	VGP	VGP	VGP	VGP	VGP	VGP	
"great potoo"	"Nyctibiidae"	"Caprimulgiformes"	"Nyctibius grandis"	"8-NCBI"	"48427"	VGP	VGP	VGP	VGP	VGP	VGP	
"Savannah sparrow"	"Passerellidae"	"Passeriformes"	"Passerculus sandwichensis"	"2-data_progress"	"161624"	VGP	VGP	VGP	VGP			
"lesser rhea"	"Rheidae"	"Rheiformes"	"Rhea pennata"	"2-data_progress"	"8795"	VGP	VGP	VGP	VGP			
"razorbill"	"Alcidae"	"Charadriiformes"	"Alca torda"	"8-NCBI"	"28689"	VGP	VGP	VGP	VGP	VGP	VGP	
"lance-tailed manakin"	"Pipridae"	"Passeriformes"	"Chiroxiphia lanceolata"	"8-NCBI"	"296741"	VGP	VGP	VGP	VGP	VGP	VGP	
"Clouded leopard"	"Felidae"	"Carnivora"	"Neofelis nebulosa"	"3-data_done"	"61452"	VGP	VGP	VGP	VGP			
"white-throated sparrow"	"Passerellidae"	"Passeriformes"	"Zonotrichia albicollis"	"0-data_queued"	"44394"	VGP	VGP	VGP				
"Greenland wolf"	"Canidae"	"Carnivora"	"Canis lupus orion"	"8-NCBI"	"2605939"	VGP	VGP	VGP	VGP	VGP	VGP	
"Eurasian red squirrel"	"Sciuridae"	"Rodentia"	"Sciurus vulgaris"	"8-NCBI"	"55149"	VGP	VGP	VGP	VGP	VGP	VGP	
"red shiner"	"Leuciscidae"	"Cypriniformes"	"Cyprinella lutrensis"	"0-data_queued"	"28791"	VGP	VGP	VGP				
"live sharksucker"	"Echeneidae"	"Carangiformes"	"Echeneis naucrates"	"8-NCBI"	"173247"	VGP	VGP	VGP	VGP	VGP	VGP	
"American pika"	"Ochotonidae"	"Lagomorpha"	"Ochotona princeps"	"2-data_progress"	"9978"	VGP	VGP	VGP	VGP			
"American alligator"	"Alligatoridae"	"Crocodylia"	"Alligator mississippiensis"	"2-data_progress"	"8496"	VGP	VGP	VGP	VGP			
"Swainson's thrush"	"Turdidae"	"Passeriformes"	"Catharus ustulatus"	"8-NCBI"	"91951"	VGP	VGP	VGP	VGP	VGP	VGP	
"ermine"	"Mustelidae"	"Carnivora"	"Mustela erminea"	"8-NCBI"	"36723"	VGP	VGP	VGP	VGP	VGP	VGP	
"southern bluefin tuna"	"Scombridae"	"Scombriformes"	"Thunnus maccoyii"	"8-NCBI"	"8240"	VGP	VGP	VGP	VGP	VGP	VGP	
"white-throated sparrow"	"Passerellidae"	"Passeriformes"	"Zonotrichia albicollis"	"1-DNA_isolation"	"44394"	VGP	VGP	VGP	VGP			
"North American porcupine"	"Erethizontidae"	"Rodentia"	"Erethizon dorsatum"	"7-asm_curated"	"34844"	VGP	VGP	VGP	VGP			
"South Island takahe"	"Rallidae"	"Gruiformes"	"Porphyrio hochstetteri"	"8-NCBI"	"439704"	VGP	VGP	VGP	VGP	VGP	VGP	
"zebra finch"	"Estrildidae"	"Passeriformes"	"Taeniopygia guttata"	"8-NCBI"	"59729"	VGP	VGP	VGP	VGP	VGP	VGP	
"two-lined caecilian"	"Rhinatrematidae"	"Apoda"	"Rhinatrema bivittatum"	"8-NCBI"	"194408"	VGP	VGP	VGP	VGP	VGP	VGP	
