Genus	species	taxid	family	long_list	other_priority	family_representative
# project_name DToL						
# subproject_name Protist						
# primary_contact Estelle Kilias						
# primary_contact_institution "Oxford University, Zoology Department, Mansfield Rd.11a OX13SZ Oxford						
# primary_contact_email Estelle.kilias@zoo.ox.ac.uk						
# date_of_update 2021 02 03						
#schema_version dtol_species_goat_2.0						
Paramecium	bursaria		Parameciidae	DTOL	DTOL	DTOL
Vorticella	microstoma		Parameciidae	DTOL	DTOL	DTOL
Coleps	hirtus		Colepidae	DTOL	DTOL	DTOL
Colpoda	steinii		Colepidae	DTOL	DTOL	DTOL
Alexandrium	tamutum		Gonyaulaceae	DTOL	DTOL	DTOL
Alexandrium	catenella	2925	Gonyaulacaceae	DTOL	DTOL	DTOL
Amphidinium	carterae		Gymnodiniaceae	DTOL	DTOL	DTOL
Karenia	mikimotoi		Kareniaceae	DTOL	DTOL	DTOL
Karlodinium	veneficum		Kareniaceae	DTOL	DTOL	DTOL
Oxyrrhis	marina		Oxyrrhinaceae	DTOL	DTOL	DTOL
Heterocaps	triquetra	66468	Heterocasaceae	DTOL	DTOL	DTOL
Scrippsiella	trochoidea		Thoracosphaeraceae	DTOL	DTOL	DTOL
Prorocentrum	micans		Prorocentraceae	DTOL	DTOL	DTOL
Prorocentrum	lima		Prorocentraceae	DTOL	DTOL	DTOL
Protodinium	simplex		Suessiaceae	DTOL	DTOL	DTOL
Gruberella	flavescens		Gruberellidae	DTOL	DTOL	DTOL
Pseudoparamoeba	pagei		Vexilliferidae	DTOL	DTOL	DTOL
Vexillifera	minutissima		Vexilliferidae	DTOL	DTOL	DTOL
Vannella	anglica		Vannellida	DTOL	DTOL	DTOL
Mayorella	cantabrigiensis		Dermamoebida	DTOL	DTOL	DTOL
Mayorella	gemmifera		Dermamoebida	DTOL	DTOL	DTOL
Polychaos	fasciculatum		Hartmannellidae	DTOL	DTOL	DTOL
Echinamoeba	silvestris		Echinamoebidae	DTOL	DTOL	DTOL
Hartmannella	cantabrigiensis		Hartmannellidae	DTOL	DTOL	DTOL
