# project_name DToL
# subproject_name Protists
# primary_contact Estelle Kilias
"# primary_contact_institution Oxford University, Zoology Department, Mansfield Rd.11a OX13SZ Oxford"
# primary_contact_email Estelle.kilias@zoo.ox.ac.uk
# date_of_update 2021 02 10
#schema_version dtol_species_goat_2.0
# Genus	species	family	long_list	other_priority	family_representative
Lingulodinium	polyedra	Gonyaulacaceae	DTOL	DTOL	
Alexandrium	minutum	Gonyaulacaceae	DTOL	DTOL	
Neoparamoeba	pemaquidensis	Vexilliferidae	DTOL	DTOL	
Trichosphaerium	sieboldi	Trichosidae	DTOL	DTOL	
Heteramoeba	clara	Vahlkampfiidae	DTOL	DTOL	
Rosculus	ithacus	Guttulinopsidae	DTOL	DTOL	
Agitata	tremulans	Cercomonadidae	DTOL	DTOL	
Cercomonas	pigra	Cercomonadidae	DTOL	DTOL	
Sporotetras	polydermatica	Radiococcaceae	DTOL	DTOL	
Stigeoclonium	farctum	Chaetophoraceae	DTOL	DTOL	
Stigeoclonium	tenue	Chaetophoraceae	DTOL	DTOL	
Brachiomonas	submarina	Chlamydomonadaceae	DTOL	DTOL	
Heterochlamydomonas	rugosa	Chlamydomonadaceae	DTOL	DTOL	
Microglena	monadina	Chlamydomonadaceae	DTOL	DTOL	
Ankistrodesmus	arcuatus	Selenastraceae	DTOL	DTOL	
Chlorolobion	braunii	Selenastraceae	DTOL	DTOL	
Drepanochloris	nannoselene	Selenastraceae	DTOL	DTOL	
Monoraphidium	convolutum	Selenastraceae	DTOL	DTOL	
Monoraphidium	griffithii	Selenastraceae	DTOL	DTOL	
Monoraphidium	tortile	Selenastraceae	DTOL	DTOL	
Selenastrum	bibraianum	Selenastraceae	DTOL	DTOL	
Paulschulzia	pseudovolvox	Tetrasopraceae	DTOL	DTOL	
Klebsormidium	subtile	Klebsormidiaceae	DTOL	DTOL	
Dictyosphaerium	ehrenbergianum	Chlorellaceae	DTOL	DTOL	
Heynigia	dictyosphaerioides	Chlorellaceae	DTOL	DTOL	
Gloeotila	scopulina	Chlorellaceae	DTOL	DTOL	
Pseudococcomyxa	simplex	Oocystaceae	DTOL	DTOL	
Graesiella	emersonii	Chlorellaceae	DTOL	DTOL	
Micractinium	pusillum	Chlorellaceae	DTOL	DTOL	
Euglena	anabaena var. minor	Euglenaceae	DTOL	DTOL	
Chrysotila	stipitata	Isochrysidaceae	DTOL	DTOL	
Chrysotila	pseudoroscoffensis	Isochrysidaceae	DTOL	DTOL	
Dicrateria	rotunda	Isochrysidaceae	DTOL	DTOL	
Prymnesium	parvum	Prymnesiaceae	DTOL	DTOL	
Diacronema	lutheri	Pavlovaceae	DTOL	DTOL	
Pavlova	gyrans	Pavlovaceae	DTOL	DTOL	
Phytophthora	alni	Peronosporaceae	DTOL	DTOL	
Globisporangium	spinosum	Pythiaceae	DTOL	DTOL	
Achlya	bisexualis	Saprolegniaceae	DTOL	DTOL	
Achlya	colorata	Saprolegniaceae	DTOL	DTOL	
Aphanomyces	laevis	Saprolegniaceae	DTOL	DTOL	
Aplanopsis	terrestris	Saprolegniaceae	DTOL	DTOL	
Isoachlya	subterranea	Saprolegniaceae	DTOL	DTOL	
Isoachlya	toruloides	Saprolegniaceae	DTOL	DTOL	
Leptolegnia	caudata	Saprolegniaceae	DTOL	DTOL	
Newbya	spinosa	Saprolegniaceae	DTOL	DTOL	
Saprolegnia	ferax	Saprolegniaceae	DTOL	DTOL	
Saprolegnia	furcata	Saprolegniaceae	DTOL	DTOL	
Saprolegnia	megasperma	Saprolegniaceae	DTOL	DTOL	
Scoliolegnia	asterophora	Saprolegniaceae	DTOL	DTOL	
Scoliolegnia	subeccentrica	Saprolegniaceae	DTOL	DTOL	
Asterionella	formosa	Fragilariaceae	DTOL	DTOL	
Asterionellopsis	glacialis	Fragilariaceae	DTOL	DTOL	
Cosmarium	blytii	Desmidiaceae	DTOL	DTOL	
Hyalotheca	dissiliens	Desmidiaceae	DTOL	DTOL	
Micrasterias	rotata	Desmidiaceae	DTOL	DTOL	
Staurastrum	polymorphum	Desmidiaceae	DTOL	DTOL	
Cylindrocystis	brebissonii	Mesotaeniaceae	DTOL	DTOL	
Spirogyra	varians	Zygnemataceae	DTOL	DTOL	
