# project_name DToL			
# subproject_name Terrestrial and Freshwater Arthropoda Working Group			
# primary_contact Gavin Broad			
# primary_contact_institution Natural History Museum, London, SW& 5BD, UK			
# primary_contact_email G.Broad@nhm.ac.uk			
# schema_version dtol_species_goat_2.0			
# date_of_update 2021-02-10			
# Genus	species	family	long_list	other_priority	family_representative			
Cicones	undatus	Colydiidae	DTOL	DTOL	DTOL
Laricobius	erichsonii	Derodontidae	DTOL	DTOL	DTOL
Meligethes	aeneus	Nitidulidae	DTOL	DTOL	DTOL
Silpha	atrata	Silphidae	DTOL	DTOL	DTOL
Clusia	flava	Clusiidae	DTOL	DTOL	DTOL
Cryptochetum	iceryae	Cryptochetidae	DTOL	DTOL	DTOL
Amiota	variegata	Drosophilidae	DTOL	DTOL	DTOL
Colobopyga	kewensis	Phoenicococcidae	DTOL	DTOL	DTOL
Marietta	picta	Aphelinidae	DTOL	DTOL	DTOL
Mymaromma	anomalum	Mymarommatidae	DTOL	DTOL	DTOL
Korscheltellus	lupulina	Hepialidae	DTOL	DTOL	DTOL
Favonius	quercus	Lycaenidae	DTOL	DTOL	DTOL
Maculinea	arion	Lycaenidae	DTOL	DTOL	DTOL
Polyommatus	bellargus	Lycaenidae	DTOL	DTOL	DTOL
Polyommatus	coridon	Lycaenidae	DTOL	DTOL	DTOL
Aglais	io	Nymphalidae	DTOL	DTOL	DTOL
Aglais	urticae	Nymphalidae	DTOL	DTOL	DTOL
Aphantopus	hyperantus	Nymphalidae	DTOL	DTOL	DTOL
Melitaea	athalia	Nymphalidae	DTOL	DTOL	DTOL
Polygonia	c-album	Nymphalidae	DTOL	DTOL	DTOL
Haplophilus	subterraneus	Himantariidae	DTOL	DTOL	DTOL
Anyphaena	numida	Anyphaenidae	DTOL	DTOL	DTOL
Scotolemon	doriae	Phalangodidae	DTOL	DTOL	DTOL
