genus	species	taxid	comment	synonym	family	long_list	other_priority	family_representative
Lejeunea	patens				Lejeuneaceae	DTOL	DTOL	DTOL
Sphaerocarpos	europaeus				Sphaerocarpaceae	DTOL	DTOL	DTOL
Andreaea	hookeri				Andreaeaceae	DTOL	DTOL	DTOL
Protolophozia	herzogiana				Cephaloziellaceae	DTOL		
Kurzia	sylvatica				Lepidoziaceae	DTOL		
Lepidozia	pearsonii				Lepidoziaceae	DTOL		
Scapania	parvifolia				Scapaniaceae	DTOL		
Chionoloma	cylindrotheca				Pottiaceae	DTOL		
Dialytrichia	saxicola				Pottiaceae	DTOL		
Tortella	pseudofragilis				Pottiaceae	DTOL		
Tortula	caucasica				Pottiaceae	DTOL		
Seligeria	carniolica				Seligeriaceae	DTOL		
