# DToL
# Fungi
# Ester Gaya
# RBG_Kew
# E.Gaya@kew.org / K.Woof@kew.org
# 11/02/2021
# species	family	long_list	other_priority	family_representative
Silobia rufescens	Acarosporaceae	DTOL		
Trimmatothelopsis smaragdula	Acarosporaceae	DTOL		
Acrospermum graminum	Acrospermaceae	DTOL		
Xylomyces aquaticus	Aliquandostipitaceae	DTOL	DTOL	DTOL
Amanita  phalloides	Amanitaceae	DTOL		
Anguillospora longissima	Amniculicolaceae	DTOL	DTOL	DTOL
Anguillospora rosea	Amniculicolaceae	DTOL		
Monographella cucumerina	Amphisphaeriaceae	DTOL		
Ceraceomyces borealis	Amylocorticiaceae	DTOL		
Apiospora montagnei	Apiosporaceae	DTOL	DTOL	DTOL
Arctomia fascicularis	Arctomiaceae	DTOL		
Arthonia cinnabarina	Arthoniaceae	DTOL		
Arthroderma persicolor	Arthrodermataceae	DTOL		
Nannizzia otae	Arthrodermataceae	DTOL		
Exidia nucleata	Auriculariaceae	DTOL		
Truncatella truncata	Bartaliniaceae	DTOL		
Bionectria ralfsii	Bionectriaceae	DTOL		
Conocybe arrhenii	Bolbitiaceae	DTOL		
Boletus badius	Boletaceae	DTOL		
Boletus chrysenteron	Boletaceae	DTOL		
Endoxyla vestita	Boliniaceae	DTOL		
Botryobasidium conspersum	Botryobasidiaceae	DTOL		
Botryosphaeria obtusa	Botryosphaeriaceae	DTOL		
Botryosphaeria stevensii	Botryosphaeriaceae	DTOL		
Sphaeropsis sapinea	Botryosphaeriaceae	DTOL		
Bullera armeniaca	Bulleraceae	DTOL	DTOL	DTOL
Bullera crocea	Bulleraceae	DTOL	DTOL	DTOL
Phaeocryptopus gaeumannii	Capnodiaceae	DTOL		
Thanatephorus fusisporus	Ceratobasidiaceae	DTOL		
Ceratocystis paradoxa	Ceratocystidaceae	DTOL		
Thielaviopsis basicola	Ceratocystidaceae	DTOL		
Sphaerodes fimicola	Ceratostomataceae	DTOL	DTOL	DTOL
Chaetomium bostrychodes	Chaetomiaceae	DTOL		
Chaetomium funicola	Chaetomiaceae	DTOL		
Chaetosphaeria pulviscula	Chaetosphaeriaceae	DTOL		
Cladosporium chlorocephalum	Cladosporiaceae	DTOL	DTOL	DTOL
Clavulinopsis corniculata	Clavariaceae	DTOL		
Ramaria flaccida	Clavariaceae	DTOL		
Dimerella lutea	Coenogoniaceae	DTOL	DTOL	DTOL
Dimerella pineti	Coenogoniaceae	DTOL	DTOL	DTOL
Scytinium gelatinosum	Collemataceae	DTOL		
Scytinium lichenoides	Collemataceae	DTOL	DTOL	DTOL
Scytinium plicatile	Collemataceae	DTOL	DTOL	DTOL
Coniothyrium obiones	Coniothyriaceae	DTOL		
Phaeangella ventosa	Cordieritidaceae	DTOL	DTOL	DTOL
Cordyceps capitata	Cordycipitaceae	DTOL		
Isaria farinosa	Cordycipitaceae	DTOL		
Cucurbitaria obducens	Cucurbitariaceae	DTOL		
Dactylospora parasitica	Dactylosporaceae	DTOL		
Davidiella dianthi	Davidiellaceae	DTOL	DTOL	DTOL
Davidiella macrocarpa	Davidiellaceae	DTOL		
Davidiella macrospora	Davidiellaceae	DTOL	DTOL	DTOL
Coleophoma oleae	Dermateaceae	DTOL		
Phoma macrostoma	Didymellaceae	DTOL	DTOL	DTOL
Dipodascus geotrichum	Dipodascaceae	DTOL	DTOL	DTOL
Geotrichum decipiens	Dipodascaceae	DTOL	DTOL	DTOL
Sphaceloma mattiroloanum	Elsinoaceae	DTOL		
Sphaceloma populi	Elsinoaceae	DTOL	DTOL	DTOL
Endogone flammicorona	Endogonaceae	DTOL		
Endogone lactiflua	Endogonaceae	DTOL		
Entorrhiza casparyana	Entorrhizaceae	DTOL		
Tilletiopsis minor	Entylomataceae	DTOL		
Eremascus fertilis	Eremascaceae	DTOL		
Filobasidium capsuligenum	Filobasidiaceae	DTOL	DTOL	DTOL
Piptoporus betulinus	Fomitopsidaceae	DTOL	DTOL	DTOL
Glomus coremioides	Glomeraceae	DTOL		
Glomerella cingulata	Glomerellaceae	DTOL	DTOL	DTOL
Gyalecta flotovii	Gyalectaceae	DTOL	DTOL	DTOL
Gyalecta nidarosiensis	Gyalectaceae	DTOL		
Gymnascella confluens	Gymnoascaceae	DTOL		
Capronia nigerrima	Herpotrichiellaceae	DTOL		
Exophiala mansonii	Herpotrichiellaceae	DTOL	DTOL	DTOL
Hyaloscypha aureliella	Hyaloscyphaceae	DTOL		
Dematioscypha dematiicola	Hyaloscyphaceae	DTOL		
Hyalopeziza millepunctata	Hyaloscyphaceae	DTOL		
Hygrocybe virginea	Hygrophoraceae	DTOL		
Hypocrea schweinitzii	Hypocreaceae	DTOL		
Acrogenospora sphaerocephala	Hysteriaceae	DTOL		
Panaeolina foenisecii	Incertae sedis	DTOL		
Stypella grilletii	Incertae sedis	DTOL		
Acremonium strictum	Incertae sedis	DTOL		
Candelabrum spinulosum	Incertae sedis	DTOL		
Endococcus alpestris	Incertae sedis	DTOL		
Lauderlindsaya borreri	Incertae sedis	DTOL		
Pyrenochaeta lycopersici	Incertae sedis	DTOL		
Thermomyces thermophilus	Incertae sedis	DTOL		
Candida lambica	Incertae sedis	DTOL		
Repetophragma goidanichii	Incertae sedis	DTOL		
Cacumisporium capitulatum	Incertae sedis	DTOL		
Wojnowicia hirta	Incertae sedis	DTOL		
Exosporium tiliae	Incertae sedis	DTOL		
Lateriramulosa uniinflata	Incertae sedis	DTOL		
Monodictys lepraria	Incertae sedis	DTOL		
Camarosporium elongatum	Incertae sedis	DTOL		
Zygosporium echinosporum	Incertae sedis	DTOL		
Scolecobasidium humicola	Incertae sedis	DTOL		
Endococcus apicicola	Incertae sedis	DTOL		
Scythioria phlogina	Incertae sedis	DTOL		
Hymenula cerealis	Incertae sedis	DTOL		
Refractohilum lichenicola	Incertae sedis	DTOL		
Thermomyces verrucosus	Incertae sedis	DTOL		
Veronaea parvispora	Incertae sedis	DTOL		
Microdochiella fusarioides	Incertae sedis	DTOL		
Chlamydomyces palmarum	Incertae sedis	DTOL		
Candelabrum brocchiatum	Incertae sedis	DTOL		
Rhabdostromina empetri	Incertae sedis	DTOL		
Trullula melanochlora	Incertae sedis	DTOL		
Pyrenochaeta unguis-hominis	Incertae sedis	DTOL		
Scolecobasidium constrictum	Incertae sedis	DTOL		
Dendrospora moniliformis	Incertae sedis	DTOL		
Xepiculopsis graminea	Incertae sedis	DTOL		
Papulaspora sepedonioides	Incertae sedis	DTOL		
Scolecobasidium tshawytschae	Incertae sedis	DTOL		
Pyrenochaeta cava	Incertae sedis	DTOL		
Pyrenochaeta quercina	Incertae sedis	DTOL		
Stilbella thermophila	Incertae sedis	DTOL		
Gloeodes pomigena	Incertae sedis	DTOL		
Bactrodesmium longisporum	Incertae sedis	DTOL		
Cacumisporium scopulae	Incertae sedis	DTOL		
Arthropsis microsperma	Incertae sedis	DTOL		
Fermentolunospora polyblastis	Incertae sedis	DTOL		
Krispiromyces discoides	Incertae sedis	DTOL		
Miratio nectrioides	Incertae sedis	DTOL		
Milleromyces rhyniensis	Incertae sedis	DTOL		
Lyonomyces pyriformis	Incertae sedis	DTOL		
Winfrenatia reticulata	Incertae sedis	DTOL		
Thyronectria balsamea	Incertae sedis	DTOL		
Spermospora avenae	Incertae sedis	DTOL		
Diachea leucopoda	Incertae sedis	DTOL		
Epicladonia simplex	Incertae sedis	DTOL		
Inocybe rimosa	Inocybaceae	DTOL		
Zwackhia prosodea	Lecanographaceae	DTOL		
Lecanora dispersa	Lecanoraceae	DTOL		
Lentamyces parricidus	Lentamycetaceae	DTOL	DTOL	DTOL
Lentithecium arundinaceum	Lentitheciaceae	DTOL	DTOL	DTOL
Leprocaulon microscopicum	Leprocaulaceae	DTOL		
Synalissa symphorea	Lichinaceae	DTOL		
Waltomyces lipofer	Lipomycetaceae	DTOL		
Lobaria amplissima	Lobariaceae	DTOL		
Propolis phacidioides	Marthamycetaceae	DTOL	DTOL	DTOL
Polychidium dendriscum	Massalongiaceae	DTOL		
Aglaospora profusa	Massariaceae	DTOL		
Massarina igniaria	Massarinaceae	DTOL		
Vaginatispora fuckelii	Massarinaceae	DTOL		
Prosthecium pyriforme	Melanconidaceae	DTOL		
Melanomma fuscidulum	Melanommataceae	DTOL		
Melaspilea lentiginosa	Melaspileaceae	DTOL	DTOL	DTOL
Pseudallescheria boydii	Microascaceae	DTOL		
Microstroma juglandis	Microstromataceae	DTOL		
Tapesia fusca	Mollisiaceae	DTOL		
Mortierella elongata	Mortierellaceae	DTOL		
Mortierella gamsii	Mortierellaceae	DTOL	DTOL	DTOL
Mortierella humilis	Mortierellaceae	DTOL		
Mortierella parvispora	Mortierellaceae	DTOL	DTOL	DTOL
Mycosphaerella tassiana	Mycosphaerellaceae	DTOL		
Gibberella avenacea	Nectriaceae	DTOL		
Nitschkia confertula	Nitschkiaceae	DTOL		
