# project_name DToL			
# subproject_name Other Metazoa			
# primary_contact Rob Mrowicki			
# primary_contact_institution Marine Biological Association, The Laboratory, Citadel Hill, Plymouth PL1 2PB, UK			
# primary_contact_email robmro@mba.ac.uk			
# date_of_update 2021-01-29			
# schema_version  dtol_species_goat_2.0			
# genus	species	family	long_list	other_priority	family_representative
Edwardsia	carnea	Edwardsiidae	DTOL	DTOL	DTOL
Alcyonium	glomeratum	Alcyoniidae	DTOL	DTOL	DTOL
Ectocarpus	flagelliformis	Ectocarpaceae	DTOL	DTOL	DTOL
Harveylithon	samoënse	Porolithaceae	DTOL	DTOL	DTOL
Scinaia	furcellata	Scinaiaceae	DTOL	DTOL	DTOL
Paucibranchia	bellii	Eunicidae	DTOL	DTOL	DTOL
Chaetozone	zetlandica	Cirratulidae	DTOL	DTOL	DTOL
Tharyx	killariensis	Cirratulidae	DTOL	DTOL	DTOL
Monia	patelliformis	Anomiidae	DTOL	DTOL	DTOL
Solen	capensis	Solenidae	DTOL	DTOL	DTOL
Corbula	gibba	Corbulidae	DTOL	DTOL	DTOL
Boreochiton	ruber	Tonicellidae	DTOL	DTOL	DTOL
Semisalsa	stagnorum	Cochliopidae	DTOL	DTOL	DTOL
Turritellinella	tricarinata	Turritellidae	DTOL	DTOL	DTOL
Aetea	anguinea	Aeteidae	DTOL	DTOL	DTOL
Victorella	pavida	Victorellidae	DTOL	DTOL	DTOL
