Genus	species	taxid	family	long_list	other_priority	family_representative
Gruberella	flavescens		Gruberellidae	DTOL	DTOL	DTOL
Polychaos	fasciculatum		Hartmannellidae	DTOL	DTOL	DTOL
Nutomonas	kenti		Nutomonadidae	DTOL	DTOL	DTOL
Allantion	tachyploon		Allapsidae	DTOL	DTOL	DTOL
Allas	oxoniensis		Thaumatomonadida	DTOL	DTOL	DTOL
Rhogostoma	micra		Rhogostomidae	DTOL	DTOL	DTOL
Neoheteromita	globosa		Sandonidae	DTOL	DTOL	DTOL
Pyramimonas	urceolata		Pyramimonadophyceae	DTOL	DTOL	DTOL
Hormidiopsis	crenulata		Ulotrichaceae	DTOL	DTOL	DTOL
Chlorocystis	salina		Ultrichaceae	DTOL	DTOL	DTOL
Astasia	pertyi		Astasiaceae	DTOL	DTOL	DTOL
Ruttnera	maritima		Isochrysidaceae	DTOL	DTOL	DTOL
