# project_name DToL
# subproject_name Protists
# primary_contact Estelle Kilias
# primary_contact_institution Oxford University, Zoology Department, Mansfield Rd.11a OX13SZ Oxford
# primary_contact_email Estelle.kilias@zoo.ox.ac.uk
# date_of_update 2021 02 10
#schema_version dtol_species_goat_2.0
# Genus	species	family	long_list	other_priority	family_representative
Neoparamoeba	pemaquidensis	Vexilliferidae	DTOL	DTOL	
Trichosphaerium	sieboldi	Trichosidae	DTOL	DTOL	
Rosculus	ithacus	Guttulinopsidae	DTOL	DTOL	
Agitata	tremulans	Cercomonadidae	DTOL	DTOL	
Sporotetras	polydermatica	Radiococcaceae	DTOL	DTOL	
Monoraphidium	griffithii	Selenastraceae	DTOL	DTOL	
Pseudococcomyxa	simplex	Oocystaceae	DTOL	DTOL	
Euglena	anabaena var. minor	Euglenaceae	DTOL	DTOL	
Isoachlya	subterranea	Saprolegniaceae	DTOL	DTOL	
Cosmarium	blytii	Desmidiaceae	DTOL	DTOL	
