# project_name DToL
# subproject_name Vascular plant species
# primary_contact Peter Hollingsworth
# primary_contact_institution Royal Botanic Garden Edinburgh, EH3 5LR, UK
# primary_contact_email phollingsworth@rbge.org.uk
# schema_version DTOL		_species_goat_2.0
# date_of_update 2021-02-07
		
# Genus	species	family	long_list	other_priority	family_representative
Lycopodium	annotinum	Lycopodiaceae	DTOL		
Trichomanes	speciosum	Hymenophyllaceae	DTOL	DTOL	DTOL
Blechnum	spicant	Blechnaceae	DTOL	DTOL	DTOL
Papaver	cambricum	Papaveraceae	DTOL		
Papaver	lecoqii	Papaveraceae	DTOL		
Roemeria	argemone	Papaveraceae	DTOL		
Roemeria	hispida	Papaveraceae	DTOL		
Mahonia	aquifolium	Berberidaceae	DTOL	DTOL	DTOL
Pulsatilla	vulgaris	Ranunculaceae	DTOL		
Petrosedum	forsterianum	Crassulaceae	DTOL		
Rhodolia	rosea	Crassulaceae	DTOL		
Ervilia	hirsuta	Fabaceae	DTOL		
Ervilia	sylvatica	Fabaceae	DTOL		
Ervum	gracile	Fabaceae	DTOL		
Ervum	tetraspermum	Fabaceae	DTOL		
Alchemilla	minima	Rosaceae	DTOL		
Aphanes	arvensis	Rosaceae	DTOL		
Cotoneaster	integrifolius	Rosaceae	DTOL		
Potentilla	rupestris	Rosaceae	DTOL		
Poterium	sanguisorba	Rosaceae	DTOL		
Rubus	fruticosus	Rosaceae	DTOL		
Sorbus	scannelliana	Rosaceae	DTOL		
Linum	radiola	Linaceae	DTOL		
Erodium	aethiopicum	Geraniaceae	DTOL		
Erophila	glabrescens	Brassicaceae	DTOL		
Erophila	majuscula	Brassicaceae	DTOL		
Erophila	verna	Brassicaceae	DTOL		
Thlaspi	caerulescens	Brassicaceae	DTOL		
Reynoutria	sachalinensis	Polygonaceae	DTOL	DTOL	
Polygonum	depressum	Polygonaceae	DTOL		
Sabulina	stricta	Caryophyllaceae	DTOL		
Sagina	filicaulis	Caryophyllaceae	DTOL		
Sagina	subulata	Caryophyllaceae	DTOL		
Silene	viscaria	Caryophyllaceae	DTOL		
Stellaria	aquatica	Caryophyllaceae	DTOL		
Atriplex	pedunculata	Amaranthaceae	DTOL		
Atriplex	portulacoides	Amaranthaceae	DTOL		
Salicornia	disarticulata	Amaranthaceae	DTOL		
Sarcocornia	perennis	Amaranthaceae	DTOL	DTOL	DTOL
Lysimachia	arvensis	Primulaceae	DTOL		
Lysimachia	europaea	Primulaceae	DTOL		
Lysimachia	maritima	Primulaceae	DTOL		
Lysimachia	tenella	Primulaceae	DTOL		
Arctostaphylos	alpinus	Ericaceae	DTOL		
Hypopitys	monotropa	Ericaceae	DTOL		
Aegonychon	purpureocaeruleum	Boraginaceae	DTOL		
Lamiastrum	galeobdolon	subsp.	argentatum	Lamiaceae	DTOL		
Stachys	officinalis	Lamiaceae	DTOL		
Mimulus	guttatus	Phrymaceae	DTOL	DTOL	DTOL
Parentucellia	viscosa	Orobanchaceae	DTOL		
Aster	lanceolatus	Asteraceae	DTOL		
Filago	germanica	Asteraceae	DTOL		
Inula	conyzae	Asteraceae	DTOL		
Mycelis	muralis	Asteraceae	DTOL	DTOL	
Omalotheca	norvegica	Asteraceae	DTOL		
Omalotheca	supina	Asteraceae	DTOL		
Imperatoria	ostruthium	Apiaceae	DTOL		
Trocdaris	verticillata	Apiaceae	DTOL		
Ruppia	spiralis	Ruppiaceae	DTOL		
Tamus	communis	Dioscoreaceae	DTOL	DTOL	DTOL
Coeloglossum	viride	Orchidaceae	DTOL		
Gymnadenia	densiflora	Orchidaceae	DTOL		
Scilla	autumnalis	Asparagaceae	DTOL		
Juncus	trifidus	Juncaceae	DTOL		
Blysmus	rufus	Cyperaceae	DTOL		
Carex	simpliciusulca	Cyperaceae	DTOL		
Eleogiton	fluitans	Cyperaceae	DTOL		
Anisantha	diandra	Poaceae	DTOL		
Anisantha	sterilis	Poaceae	DTOL		
Aristavena	setacea	Poaceae	DTOL		
Bromopsis	benekenii	Poaceae	DTOL		
Bromopsis	erecta	Poaceae	DTOL		
Bromopsis	ramosa	Poaceae	DTOL		
Calamagrostis	epigejos	Poaceae	DTOL		
Calamagrostis	stricta	Poaceae	DTOL		
Elymus	junceiformis	Poaceae	DTOL		
Sasaella	ramosa	Poaceae	DTOL		
Schedonorus	arundinaceus	Poaceae	DTOL		
Schedonorus	giganteus	Poaceae	DTOL		
Schedonorus	pratensis	Poaceae	DTOL		
Spartina	anglica	Poaceae	DTOL		
Spartina	maritima	Poaceae	DTOL		
Vulpia	bromoides	Poaceae	DTOL		
Vulpia	ciliata	Poaceae	DTOL		
Vulpia	fasciculata	Poaceae	DTOL		
Vulpia	myuros	Poaceae	DTOL		
Vulpia	unilateralis	Poaceae	DTOL		
