taxon_id	input	rank
2082420	Myriospora rufescens	species
1609035	Myriospora smaragdula	species
152640	Acrospermum graminum	species
698801	Vargamyces aquaticus	species
67723	Amanita phalloides	species
2566060	Amniculicola longissima	species
1562375	Orbilia rosea	species
40658	Plectosphaerella cucumerina	species
467939	Serpulomyces borealis	species
335852	Arthrinium arundinis	species
1260762	Gabura fascicularis	species
1542792	Coniocarpon cinnabarinum	species
65487	Nannizzia persicolor	species
63405	Microsporum canis	species
160920	Myxarium nucleatum	species
152316	Truncatella angustata	species
122423	Clonostachys ralfsii	species
1276720	Pholiotina arrhenii	species
36058	Xerocomus badius	species
1354920	Xerocomellus chrysenteron	species
1985657	Lentomitella vestita	species
264098	Haplotrichum conspersum	species
420778	Diplodia seriata	species
85927	Diplodia mutila	species
400389	Diplodia cupressi	species
4972	Dioszegia hungarica	species
4974	Dioszegia crocea	species
2060159	Nothophaeocryptopus gaeumannii	species
2650727	Rhizoctonia fusispora	species
13001	Thielaviopsis paradoxa	species
124036	Berkeleyomyces basicola	species
1661791	Microthecium fimicola	species
1934368	Collariella bostrychodes	species
1934379	Dichotomopilus funicola	species
139953	Zignoella pulviscula	species
166631	Graphiopsis chlorocephala	species
749444	Ramariopsis corniculata	species
288757	Phaeoclavulina flaccida	species
64636	Marquandomyces marquandii	species
146297	Coenogonium luteum	species
232769	Coenogonium pineti	species
243204	Leptogium gelatinosum	species
243205	Leptogium lichenoides	species
696951	Leptogium plicatile	species
1077355	Neocamarosporium obiones	species
1888955	Diplocarpa bloxami	species
1071710	Mollisia ventosa	species
45235	Tolypocladium capitatum	species
89141	Cordyceps farinosa	species
1938146	Praetumpfia obducens	species
2029763	Sclerococcum parasiticum	species
166634	Cladosporium echinulatum	species
93488	Cladosporium macrocarpum	species
161657	Cladosporium iridis	species
1849062	Dothiora oleae	species
73002	Didymella macrostoma	species
1173061	Geotrichum candidum	species
43962	Dipodascus armillariae	species
1978813	Elsinoe mattiroloanum	species
1978820	Elsinoe populi	species
994334	Jimgerdemannia flammicorona	species
324621	Jimgerdemannia lactiflua	species
2729607	Juncorrhiza casparyana	species
58917	Gjaerumia minor	species
27318	Skoua fertilis	species
5211	Piskurozyma capsuligena	species
40450	Fomitopsis betulina	species
109457	Sclerocystis coremioides	species
538528	Colletotrichum camelliae	species
232754	Gyalecta flotowii	species
glBelNida	Belonia nidarosiensis	species
166388	Gymnoascus confluens	species
86046	Berlesiella nigerrima	species
91922	Exophiala castellanii	species
47748	Eupezizella aureliella	species
1293533	Haplographium delicatum	species
1071713	Olla millepunctata	species
1398587	Cuphophyllus virgineus	species
58853	Trichoderma citrinoviride	species
286007	Acrogenospora carmichaeliana	species
34442	Panaeolus foenisecii	species
2483279	Myxarium varium	species
5046	Sarocladium strictum	species
2052907	Hyaloscypha spinulosa	species
gdEndApic	Endococcus apiciicola	species
869219	Normandina pulchella	species
285811	Pseudopyrenochaeta lycopersici	species
28565	Thermomyces dupontii	species
53655	Pichia fermentans	species
2524048	Sympodiella goidanichii	species
153157	Chaetosphaeria decastyla	species
565412	Septoriella hirta	species
2017527	Helminthosporium tiliae	species
gaLatUnii	Lateriramulosa uni-inflata	species
gaMonCell	Monodictys cellulosa	species
45143	Camarosporidiella elongata	species
2075506	Vesiculozygosporium echinosporum	species
228895	Ochroconis humicola	species
1301499	Polycauliona phlogina	species
259995	Cephalosporium gramineum	species
grRhaLich	Rhagadostoma lichenicola	species
2724742	Botryotrichum verrucosum	species
470084	Rhinocladiella anceps	species
1682404	Hyalorbilia fusarioides	species
2036943	Harzia palmara	species
2052908	Brocchiosphaera brocchiata	species
582885	Coleophoma empetri	species
1578314	Hormodochis melanochlora	species
555973	Neocucurbitaria unguis-hominis	species
227046	Ochroconis constricta	species
1903040	Arbusculina moniliformis	species
226117	Myrothecium gramineum	species
1661795	Microthecium sepedonioides	species
262132	Ochroconis tshawytschae	species
798079	Neocucurbitaria cava	species
798143	Neocucurbitaria quercina	species
72144	Remersonia thermophila	species
2082065	Phyllachora pomigena	species
1150419	Gamsomyces longisporus	species
gaAcrScop	Acrothecium scopulae	species
1341169	[Arthropsis] microsperma	species
1027816	Nectria balsamea	species
