species	taxid	comment	synonym	family	long_list	other_priority	family_representative
Myriospora rufescens	2082420	Listed as: Silobia rufescens	Silobia rufescens	Acarosporaceae	DTOL		
Myriospora smaragdula	1609035	Listed as: Trimmatothelopsis smaragdula	Trimmatothelopsis smaragdula	Acarosporaceae	DTOL		
Acrospermum graminum	152640	Listed as: Acrospermum graminum	Acrospermum graminum	Acrospermaceae	DTOL		
Vargamyces aquaticus	698801	Listed as: Xylomyces aquaticus	Xylomyces aquaticus	Aliquandostipitaceae	DTOL	DTOL	DTOL
Amanita phalloides	67723			Amanitaceae	DTOL		
Amniculicola longissima	2566060	Listed as: Anguillospora longissima	Anguillospora longissima	Amniculicolaceae	DTOL	DTOL	DTOL
Orbilia rosea	1562375	Listed as: Anguillospora rosea	Anguillospora rosea	Amniculicolaceae	DTOL		
Plectosphaerella cucumerina	40658	Listed as: Monographella cucumerina	Monographella cucumerina	Amphisphaeriaceae	DTOL		
Serpulomyces borealis	467939	Listed as: Ceraceomyces borealis	Ceraceomyces borealis	Amylocorticiaceae	DTOL		
Apiospora montagnei	335852	Listed as: Apiospora montagnei	Apiospora montagnei	Apiosporaceae	DTOL	DTOL	DTOL
Gabura fascicularis	1260762	Listed as: Arctomia fascicularis	Arctomia fascicularis	Arctomiaceae	DTOL		
Coniocarpon cinnabarinum	1542792	Listed as: Arthonia cinnabarina	Arthonia cinnabarina	Arthoniaceae	DTOL		
Nannizzia persicolor	65487	Listed as: Arthroderma persicolor	Arthroderma persicolor	Arthrodermataceae	DTOL		
Microsporum canis	63405	Listed as: Nannizzia otae	Nannizzia otae	Arthrodermataceae	DTOL		
Myxarium nucleatum	160920	Listed as: Exidia nucleata	Exidia nucleata	Auriculariaceae	DTOL		
Truncatella angustata	152316	Listed as: Truncatella truncata	Truncatella truncata	Bartaliniaceae	DTOL		
Clonostachys ralfsii	122423	Listed as: Bionectria ralfsii	Bionectria ralfsii	Bionectriaceae	DTOL		
