taxon_id	input	rank
2925	Alexandrium catenella	species
66468	Heterocapsa triquetra	species
1808993	Rosculus cf. ithacus CCAP 1571/3	species
315533	Hartmannella abertawensis	species
529820	Amastigomonas sp. 6B/7c	species
529821	Amastigomonas sp. IVY8c	species
981202	Rhogostoma schuessleri	species
1683230	Draparnaldia mutabilis	species
75804	Coelastrella oocystiformis	species
304863	Monomorphina aenigmatica	species
96784	Monomorphina pyrum	species
13221	Chrysotila carterae	species
2801	Rhodella violacea	species
127444	Phytophthora undulata	species
120400	Aplanes androgynus	species
555749	Stauroneis simulans	species
33645	Grammonema striatula	species
33649	Thalassionema nitzschioides	species
655800	Trieres mobiliensis	species
1514140	Trieres chinensis	species
74790	Paramecium bursaria	species
77619	Vorticella microstoma	species
60000	Coleps hirtus	species
63136	Colpoda steinii	species
227983	Alexandrium tamutum	species
2961	Amphidinium carterae	species
225107	Karenia mikimotoi	species
407301	Karlodinium veneficum	species
2969	Oxyrrhis marina	species
71861	Scrippsiella trochoidea	species
2945	Prorocentrum micans	species
39448	Prorocentrum lima	species
2957	Protodinium simplex	species
229672	Pseudoparamoeba pagei	species
242550	Vexillifera minutissima	species
95229	Vannella anglica	species
1973064	Mayorella cantabrigiensis	species
561864	Mayorella gemmifera	species
1215984	Echinamoeba silvestris	species
239731	Hartmannella cantabrigiensis	species
200886	Rhizamoeba saxonica	species
5775	Amoeba proteus	species
2026923	Allovahlkampfia minuta	species
41120	Apusomonas proboscidea	species
687161	Paracercomonas minima	species
100933	Cercomonas longicauda	species
686750	Paracercomonas ambulans	species
985831	Ovulinata parva	species
1273174	Thaumatomonas zhukovi	species
1249516	Chaetophora lobata	species
764113	Draparnaldia glomerata	species
56002	Chaetopeltis orbicularis	species
1035634	Carteria incisa	species
1199099	Chlorochytrium lemnae	species
ucCylInvo	Cylindrocapsa involuta	species
34116	Pleurastrum terricola	species
52035	Lobochlamys segnis	species
1941195	Microglena redcarensis	species
353565	Polytomella magna	species
44650	Chlorococcum hypnosporum	species
1328805	Balticola droebakensis	species
71746	Gungnir kasakii	species
52965	Phacotus lenticularis	species
77548	Pteromonas angulosa	species
710656	Pascherina tetras	species
33099	Pandorina morum	species
55995	Oedogonium cardiacum	species
179863	Dictyochloris fragrans	species
889455	Dictyococcus varians	species
55410	Pseudopediastrum boryanum	species
ucMicAmoe	Microspora amoena	species
163317	Microspora stagnorum	species
ucCoePlan	Coenococcus planctonicus	species
55409	Coelastrum microporum	species
795112	Coelastrum proboscideum	species
81816	Messastrum gracile	species
55413	Kirchneriella lunaris	species
876697	Nephrochlamys subsolitaria	species
52688	Ankyra judayi	species
2802992	Asterococcus limneticus	species
1993634	Paulschulzia tenera	species
1461601	Sphaerocystis schroeteri	species
81807	Klebsormidium fluitans	species
687948	Mamiella gilva	species
13608	Mantoniella squamata	species
344402	Nephroselmis rotunda	species
1034818	Marsupiomonas pelliculata	species
41880	Pycnococcus provasolii	species
67781	Pyramimonas disomata	species
2989	Mallomonas papillosa	species
63676	Chloroidium ellipsoideum	species
3082	Chloroidium saccharophilum	species
133487	Marvania coccoides	species
300846	Trebouxia crenulata	species
37433	Stichococcus bacillaris	species
154509	Koliella spiculiformis	species
1207352	Tetrastrum staurogeniiforme	species
414120	Codium adhaerens	species
173376	Trentepohlia aurea	species
233187	Cryptomonas marssonii	species
1326780	Rhinomonas reticulata	species
295837	Rhodomonas baltica	species
66844	Cryptoglena pigra	species
103340	Trachelomonas volvocina	species
1732443	Scytomonas saepesedens	species
135496	Phacus triqueter	species
83915	Distigma proteus	species
56452	Petalomonas cantuscygni	species
2762	Cyanophora paradoxa	species
424539	Chrysotila lamellosa	species
97485	Prymnesium parvum	species
221442	Coccolithus braarudii	species
2081491	Diacronema lutheri	species
561169	Rebecca salina	species
39714	Euglypha rotunda	species
38824	Ciliophrys infusionum	species
2606886	Pseudocharaciopsis ovalis	species
42750	Developayella elegans	species
134686	Apodachlya minima	species
goApoComp	Apodachlyella completa	species
111171	Phytophthora erythroseptica	species
115417	Globisporangium iwayamae	species
140046	Globisporangium polymastum	species
2711123	Globisporangium rostratum	species
112088	Achlya radiosa	species
goNewPasc	Newbya pascuicola	species
1034830	Nitzschia epithemoides	species
uoEntAlat	Entomoneis alata	species
3000	Hibberdia magna	species
1034828	Chromulina ochromonoides	species
98045	Ochromonas tuberculata	species
89044	Spumella elongata	species
1276067	Paraphysomonas ovalis	species
1276173	Paraphysomonas acuminata	species
1442597	Bacteriastrum furcatum	species
230516	Chaetoceros curvisetus	species
122233	Chaetoceros debilis	species
33642	Coscinodiscus radiatus	species
265552	Coscinodiscus granii	species
285082	Aulacoseira granulata	species
49234	Aulacoseira ambigua	species
216927	Paralia sulcata	species
259834	Cyclotella pseudostelligera	species
29207	Stephanodiscus hantzschii	species
49265	Thalassiosira rotula	species
33640	Asterionellopsis glacialis	species
210448	Fragilaria crotonensis	species
49246	Cymatosira belgica	species
2797600	Nematochrysis sessilis	species
2829	Heterosigma akashiwo	species
984086	Mallomonas cratis	species
52555	Synura petersenii	species
88167	Poterioochromonas malhamensis	species
uoBotArhi	Botrydiopsis arhiza	species
73019	Ophiocytium majus	species
308883	Bumilleria sicula	species
3125	Coleochaete scutata	species
