Paramecium	bursaria	Parameciidae	DTOL	DTOL	DTOL
Vorticella	microstoma	Parameciidae	DTOL	DTOL	DTOL
Coleps	hirtus	Colepidae	DTOL	DTOL	DTOL
Colpoda	steinii	Colepidae	DTOL	DTOL	DTOL
Alexandrium	tamutum	Gonyaulaceae	DTOL	DTOL	DTOL
Amphidinium	carterae	Gymnodiniaceae	DTOL	DTOL	DTOL
Karenia	mikimotoi	Kareniaceae	DTOL	DTOL	DTOL
Karlodinium	veneficum	Kareniaceae	DTOL	DTOL	DTOL
Oxyrrhis	marina	Oxyrrhinaceae	DTOL	DTOL	DTOL
Scrippsiella	trochoidea	Thoracosphaeraceae	DTOL	DTOL	DTOL
Prorocentrum	micans	Prorocentraceae	DTOL	DTOL	DTOL
Prorocentrum	lima	Prorocentraceae	DTOL	DTOL	DTOL
Protodinium	simplex	Suessiaceae	DTOL	DTOL	DTOL
Pseudoparamoeba	pagei	Vexilliferidae	DTOL	DTOL	DTOL
Vexillifera	minutissima	Vexilliferidae	DTOL	DTOL	DTOL
Vannella	anglica	Vannellida	DTOL	DTOL	DTOL
Mayorella	cantabrigiensis	Dermamoebida	DTOL	DTOL	DTOL
Mayorella	gemmifera	Dermamoebida	DTOL	DTOL	DTOL
Echinamoeba	silvestris	Echinamoebidae	DTOL	DTOL	DTOL
Hartmannella	cantabrigiensis	Hartmannellidae	DTOL	DTOL	DTOL
Rhizamoeba	saxonica	Flabellulidae	DTOL	DTOL	DTOL
Amoeba	proteus	Amoebidae	DTOL	DTOL	DTOL
Allovahlkampfia	minuta	Vahlkampfiidae	DTOL	DTOL	DTOL
Apusomonas	proboscidea	Apusomonadidae	DTOL	DTOL	DTOL
Paracercomonas	minima	Cercomonadidae	DTOL	DTOL	DTOL
Cercomonas	longicauda	Cercomonadidae	DTOL	DTOL	DTOL
Paracercomonas	ambulans	Cercomonadidae	DTOL	DTOL	DTOL
Ovulinata	parva	Pseudodifflugiidae	DTOL	DTOL	DTOL
Draparnaldia	glomerata	Chaetophoraceae	DTOL	DTOL	DTOL
Chaetopeltis	orbicularis	Chaetopeltidaceae	DTOL	DTOL	DTOL
Carteria	incisa	Carteriaceae	DTOL	DTOL	DTOL
Chlorochytrium	lemnae	Chlorochytriaceae	DTOL	DTOL	DTOL
Cylindrocapsa	involuta	Cylindrocapsaceae	DTOL	DTOL	DTOL
Pleurastrum	terricola	Pleurastraceae	DTOL	DTOL	DTOL
Lobochlamys	segnis	Chlamydomonadaceae	DTOL	DTOL	DTOL
Microglena	redcarensis	Chlamydomonadaceae	DTOL	DTOL	DTOL
Polytomella	magna	Chlamydomonadaceae	DTOL	DTOL	DTOL
Chlorococcum	hypnosporum	Chlorococcaceae	DTOL	DTOL	DTOL
Balticola	droebakensis	Haematococcaceae	DTOL	DTOL	DTOL
Gungnir	kasakii	Haematococcaceae	DTOL	DTOL	DTOL
Phacotus	lenticularis	Phacotaceae	DTOL	DTOL	DTOL
Pteromonas	angulosa	Phacotaceae	DTOL	DTOL	DTOL
Pascherina	tetras	Spondylimoraceae	DTOL	DTOL	DTOL
Pandorina	morum	Volvocaceae	DTOL	DTOL	DTOL
Oedogonium	cardiacum	Oedogoniaceae	DTOL	DTOL	DTOL
Dictyochloris	fragrans	Dictyochloridaceae	DTOL	DTOL	DTOL
Dictyococcus	varians	Dictyococcaceae	DTOL	DTOL	DTOL
Pseudopediastrum	boryanum	Hydrodictyaceae	DTOL	DTOL	DTOL
Microspora	amoena	Microsporaceae	DTOL	DTOL	DTOL
Microspora	stagnorum	Microsporaceae	DTOL	DTOL	DTOL
Coenococcus	planctonicus	Radiococcaceae	DTOL	DTOL	DTOL
Coelastrum	microporum	Scenedesmaceae	DTOL	DTOL	DTOL
Coelastrum	proboscideum	Scenedesmaceae	DTOL	DTOL	DTOL
Messastrum	gracile	Selenastraceae	DTOL	DTOL	DTOL
Kirchneriella	lunaris	Selenastraceae	DTOL	DTOL	DTOL
Nephrochlamys	subsolitaria	Selenastraceae	DTOL	DTOL	DTOL
Ankyra	judayi	Sphaeropleaceae	DTOL	DTOL	DTOL
Asterococcus	limneticus	Palmellopsidaceae	DTOL	DTOL	DTOL
Paulschulzia	tenera	Tetrasporaceae	DTOL	DTOL	DTOL
Sphaerocystis	schroeteri	Palmellaceae	DTOL	DTOL	DTOL
Klebsormidium	fluitans	Klebsormidiaceae	DTOL	DTOL	DTOL
Mamiella	gilva	Mamiellaceae	DTOL	DTOL	DTOL
Mantoniella	squamata	Mamiellaceae	DTOL	DTOL	DTOL
Nephroselmis	rotunda	Nephroselmidaceae	DTOL	DTOL	DTOL
Marsupiomonas	pelliculata	Marsupiomonadaceae	DTOL	DTOL	DTOL
Pycnococcus	provasolii	Pycnococcaceae	DTOL	DTOL	DTOL
Pyramimonas	disomata	Pyramimonadaceae	DTOL	DTOL	DTOL
Mallomonas	papillosa	Mallomonadaceae	DTOL	DTOL	DTOL
Chloroidium	ellipsoideum	Chlorellaceae	DTOL	DTOL	DTOL
Chloroidium	saccharophilum	Chlorellaceae	DTOL	DTOL	DTOL
Marvania	coccoides	Chlorellaceae	DTOL	DTOL	DTOL
Trebouxia	crenulata	Trebouxiaceae	DTOL	DTOL	DTOL
Stichococcus	bacillaris	Prasiolaceae	DTOL	DTOL	DTOL
Koliella	spiculiformis	Koliellaceae	DTOL	DTOL	DTOL
Tetrastrum	staurogeniiforme	Oocystaceae	DTOL	DTOL	DTOL
Codium	adhaerens	Codiaceae	DTOL	DTOL	DTOL
Trentepohlia	aurea	Trentepohliaceae	DTOL	DTOL	DTOL
Cryptomonas	marssonii	Cryptomonadaceae	DTOL	DTOL	DTOL
Rhinomonas	reticulata	Pyrenomonadacae	DTOL	DTOL	DTOL
Rhodomonas	baltica	Pyrenomonadacae	DTOL	DTOL	DTOL
Cryptoglena	pigra	Euglenaceae	DTOL	DTOL	DTOL
Trachelomonas	volvocina	Euglenaceae	DTOL	DTOL	DTOL
Scytomonas	saepesedens	Peranemataceae	DTOL	DTOL	DTOL
Phacus	triqueter	Phacaceae	DTOL	DTOL	DTOL
Distigma	proteus	Astasiaceae	DTOL	DTOL	DTOL
Petalomonas	cantuscygni	Sphenomonadidae	DTOL	DTOL	DTOL
Cyanophora	paradoxa	Cyanophoraceae	DTOL	DTOL	DTOL
Chrysotila	lamellosa	Isochrysidaceae	DTOL	DTOL	DTOL
Prymnesium	parvum	Prymnesiaceae	DTOL	DTOL	DTOL
Coccolithus	braarudii	Coccolithaceae	DTOL	DTOL	DTOL
Diacronema	lutheri	Pavlovaceae	DTOL	DTOL	DTOL
Rebecca	salina	Pavlovaceae	DTOL	DTOL	DTOL
Euglypha	rotunda	Euglyphidae	DTOL	DTOL	DTOL
Rhodella	violacea	Rhodellaceae	DTOL	DTOL	DTOL
Ciliophrys	infusionum	Pedinellaceaea	DTOL	DTOL	DTOL
Pseudocharaciopsis	ovalis	Pseudocharaciopsidaceae	DTOL	DTOL	DTOL
Developayella	elegans	Developea	DTOL	DTOL	DTOL
Apodachlya	minima	Leptomitaceae	DTOL	DTOL	DTOL
Apodachlyella	completa	Apodachlyellaceae	DTOL	DTOL	DTOL
Phytophthora	erythroseptica	Peronosporaceae	DTOL	DTOL	DTOL
