taxon_id	input	rank
180228	Paramoeba pemaquidensis	species
1808993	Rosculus cf. ithacus CCAP 1571/3	species
1034627	Gloeocystis polydermatica	species
2528165	Monoraphidium griffithi	species
464287	Coccomyxa simplex	species
38273	Euglenaria anabaena	species
334524	Saprolegnia subterranea	species
328281	Cosmarium blyttii	species
160621	Lingulodinium polyedra	species
39455	Alexandrium minutum	species
63597	Heteramoeba clara	species
686731	Cercomonas pigra	species
764115	Stigeoclonium farctum	species
764117	Stigeoclonium tenue	species
327064	Brachiomonas submarina	species
179868	Heterochlamydomonas rugosa	species
47904	Microglena monadina	species
1461599	Ankistrodesmus arcuatus	species
34112	Chlorolobion braunii	species
2081490	Drepanochloris nannoselene	species
307513	Monoraphidium convolutum	species
ucMonTort	Monoraphidium tortile	species
81817	Selenastrum bibraianum	species
56011	Paulschulzia pseudovolvox	species
937591	Klebsormidium subtile	species
745283	Dictyosphaerium ehrenbergianum	species
797674	Heynigia dictyosphaerioides	species
413988	Gloeotila scopulina	species
95581	Graesiella emersonii	species
126839	Micractinium pusillum	species
424540	Chrysotila stipitata	species
418907	Chrysotila pseudoroscoffensis	species
2703868	Dicrateria rotunda	species
97485	Prymnesium parvum	species
2081491	Diacronema lutheri	species
44452	Pavlova gyrans	species
299391	Phytophthora alni	species
2125998	Globisporangium spinosum	species
4766	Achlya bisexualis	species
112079	Achlya colorata	species
112092	Aphanomyces laevis	species
92972	Aplanopsis terrestris	species
134689	Isoachlya toruloides	species
92976	Leptolegnia caudata	species
1618013	Newbya spinosa	species
4770	Saprolegnia ferax	species
334525	Saprolegnia furcata	species
327753	Saprolegnia megasperma	species
120423	Scoliolegnia asterophora	species
goScoSube	Scoliolegnia subeccentrica	species
210441	Asterionella formosa	species
33640	Asterionellopsis glacialis	species
130987	Hyalotheca dissiliens	species
130981	Micrasterias rotata	species
292364	Staurastrum polymorphum	species
102167	Cylindrocystis brebissonii	species
332125	Spirogyra varians	species
