taxon_id	input	rank	suggested
48153	Phylloscopus sibillatrix	species	Phylloscopus sibilatrix
98942	Platyhypnidium ripariodes	species	Rhynchostegium riparioides
1497759	Cephaloziella massalongi	species	Cephaloziella massalongoi
	Artemisia criantha	species	artemisia myriantha	artemisia eriantha
	Aster junceus	species	aster puniceus
	Euphrasia campbelliae	species	euphranta camelliae	euphrasia campbellae
268045	Hieracium argenteum	species	Pilosella argyrocoma
1533115	Hieracium dentulum	species	Hieracium dentatum
268012	Hieracium oenophyllum	species	Crepis alpestris
	Hieracium peccense	species	hieracium lyccense
	Hieracium stictum	species	hieracium strictum	hericium strictum
118700	Nicotiana langsdorfii	species	Nicotiana langsdorffii
	Senecio eboracensis	species	senecio boyacensis
115664	Solanum eleagnifolium	species	Solanum elaeagnifolium
39388	Verbascum hapsus	species	Verbascum thapsus
	Veronica paniculata	species	vernonia paniculata
467335	Polygonum plebejum	species	Polygonum plebeium
39904	Silene pseudatocion	species	Silene pseudoatocion
1208426	Abutilon malvifolium	species	Abutilon pauciflorum
108455	Kitaibelia vitifolia	species	Kitaibela vitifolia
537162	Lepidium sagittulatum	species	Lepidium sagittatum
	Salix microstachya	species	salix macrostachya	salix macrostachys
	Salix salvifolia	species	salix salviifolia	salix parvifolia
97702	Quercus phillyreoides	species	Quercus phillyraeoides
669757	Papaver bivalve	species	Papaver nivale
	Amelanchier lovalis	species	amelanchier ovalis
253483	Fuchsia excortica	species	Fuchsia excorticata
1533180	Oenothera fallax	species	Oenothera x fallax
482602	Oenothera perangusta	species	Oenothera oakesiana
1813480	Rubus vitifolius	species	Rubus acuminatus
2999622	Sorbus evansii	species	Barbus evansi
97043	Trifolium tenuifolium	species	Trifolium striatum
909153	Echinus tenuispinus	species	Echinops graecus
101289	Ocnus brunneus	species	Conus brunneus
1983731	Amphiura fragilis	species	Amphiroa gracilis
1604570	Lestidiops sphyrenoides	species	Lestidiops sphyraenopsis
	Notoscopelus kroyeri	species	notoscopelus kroeyeri
3002425	Parabrotula plagiophthalma	species	Parabrotula plagiophthalmus
1400509	Ameliella grisea	species	Santessoniella grisea
	Bispora fusca	species	biatora fusca
1150095	Coleophoma rhododendri	species	Coleophora vacciniella
159720	Fumago vagans	species	Fuligo septica
	Gloeodes	genus	aloeides	cloeodes	elaeodes
2033203	Helicofilia	genus	Heliconilla
745532	Monosporium olivaceum	species	Sirodesmium olivaceum
	Myxosporium	genus	zygosporium	monosporium
	Naemospora crocea	species	nemaspora crocea
	Naemaspora microspora	species	naemospora microspora
512020	Septoria podagraria	species	Mycosphaerella podagrariae
382529	Rhizophydium gibbosum	species	Rhizophydium globosum
242981	Antennaria laevigata	species	Histrio histrio
565391	Aposphaeria populea	species	Melanomma populicola
438361	Caryospora callicarpa	species	Pseudocercospora callicarpae
2754649	Cercidospora macrospora	species	Cercospora macrospora
29911	Cercospora moravica	species	Alternaria brassicae
1160532	Chaetomastia canescens	species	Brachyotum ledifolium
38650	Dematium	genus	Lomatium
1940661	Diplodia castaneae	species	Sirococcus castaneae
38941	Diplodia hederae	species	Diplodus sargus
	Diplodia ulicis	species	diplodia ilicis	diplodina salicis	diplodia salicis
87756	Diplodia vulgaris	species	Diplodus vulgaris
	Dothidella ulmi	species	dothidella ulei	dothiorella ulmi
314157	Helicosporium albidum	species	Helicosporium pallidum
314160	Helicoon chlamydosporum	species	Helicoma chlamydosporum
2017524	Helminthosporium microsporum	species	Helminthosporium microsorum
2081555	Hendersonia polycistis	species	Myxocyclus polycystis
81839	Lidophia graminis	species	Bathyphantes gracilis
95157	Lophiostoma auctum	species	Grosmannia aurea
	Lophiostoma microstomum	species	lophiostoma macrostomum	ophiostoma microsporum	lopadostoma microsporum
1647314	Microthyrium ciliatum	species	Microthecium ciliatum
1004395	Morenoina paludosa	species	Platorchestia paludosus
199273	Ohleria rugulosa	species	Olearia ramulosa
88632	Patellaria fuscoater	species	Lecidea fuscoatra
655182	Periconia acuminata	species	Heliconia acuminata
192044	Periconia alba	species	Strelitzia alba
929903	Phaeosphaeria maritima	species	Remispora maritima
2698382	Phoma ammophilae	species	Stagonosporopsis nemophilae
	Phoma lignicola	species	phoma ligulicola
	Phoma mororum	species	phoma malorum
1077372	Phoma zopfii	species	Paraleptosphaeria orobanches
555004	Phyllosticta cordylines	species	Phyllosticta cordylinophila
1429796	Phyllosticta ruborum	species	Phyllosticta rubella
1677696	Phyllosticta violae	species	Ascochyta viciae
2082300	Placosphaeria graminis	species	Phaeosphaeria graminis
80664	Polycoccum crassum	species	Pisolithus arhizus
178871	Polycoccum marmoratum	species	Pisolithus marmoratus
178872	Polycoccum microcarpum	species	Pisolithus microcarpus
2081385	Rhabdospora lupinii	species	Rhabdospora lupini
1351432	Septoria astragali	species	Septoria sp. 'astralagi'
446915	Septoria menyanthis	species	Septoria oenanthis
1198103	Septoria scutellariae	species	Septoria stellariae
398331	Stagonospora vexatula	species	Setoseptoria arundinacea
1540147	Teretispora	genus	Tortispora
	Acladium fuscum	species	aplidium fuscum	acridium fulvum
	Agaricus adnatus	species	agaricus undatus
	Agaricus carnosus	species	agaricus capnosus	agaricus cariosus
	Agaricus lutosus	species	agaricus luteolus
	Agaricus nitens	species	agaricus nutans
	Agaricus rigidus	species	agaricus lividus
	Agaricus stipitis	species	agaricus stipatus
36659	Agaricus violaceus	species	Volvariella volvacea
1170499	Athelia scutellaris	species	Dentathalia scutellariae
85971	Boletus erubescens	species	Gyrodon lividus
1384857	Boletus rubiginosus	species	Dolerus uliginosus
	Boletus rugosus	species	boletus ramosus	dolerus fumosus
	Clavaria spathula	species	clavaria spathulata
	Clitocybe concava	species	clitocybe connata
1657918	Clitopilus daamsii	species	Clitopilus davisii
	Collybia laxipes	species	collybia lanipes
1227135	Collybia planipes	species	Mycena plumipes
	Conchomyces bursiformis	species	conchomyces bursaeformis
	Conocybe murinacea	species	conocybe farinacea	coniocybe farinacea
	Conocybe nivea	species	coniocybe nivea
7957	Coprinus aratus	species	Carassius auratus
71698	Coprinus collinus	species	Tulosesus callinus
54556	Coprinus eburnus	species	Alburnus alburnus
	Coprinus galopus	species	coprinus lagopus
	Coprinus niceps	species	coprinus niveus	coprinus nudiceps
1221085	Coprinopsis pachysperma	species	Coprinopsis pachyderma
2488069	Coprinus sociatus	species	Coprinopsis striata
183873	Cortinarius badiolilaceus	species	Cortinarius badiovinaceus
2785897	Cortinarius duramarus	species	Thaxterogaster dulcamarus
1638299	Cortinarius epipoleus	species	Cortinarius epiphaeus
165399	Cortinarius latus	species	Cortinarius laetus
	Cortinarius milvinus	species	cortinarius miltinus
	Cortinarius muricinus	species	cortinarius duracinus
	Cortinarius nitidus	species	cortinarius rigidus	cortinarius lividus
	Cortinarius nitrosus	species	cortinarius vitiosus	cortinarius intrusus
2764559	Cortinarius olivascens	species	Cortinarius udolivascens
2020562	Cortinarius plumbosus	species	Cortinarius plumulosus
47323	Cortinarius punctalis	species	Cortinarius gentilis
1245897	Cortinarius succineus	species	Cortinarius coccineus
2732395	Cortinarius violaceovelatus	species	Cortinarius violaceovolvatus
1987539	Crepidotus tubidulus	species	Crepidotus rufidulus
941912	Cyphella fulva	species	Cymbella fulva
1754158	Eccilia pusilla	species	Lucilia pusilla
2487837	Entoloma corvinum	species	Inocephalus cervinus
1473262	Entoloma griseoluridum	species	Entoloma indutoides
	Entoloma indutum	species	entoloma undatum	entoloma minutum
2762092	Entoloma scabrosum	species	Entoloma scabiosum
181160	Entoloma tortipes	species	Entoloma hirtipes
	Erastia	genus	erastria	ernstia	erasmia
