phylum	echabs92	scientific_name	genus	subspecies	comment	alt_taxon_id
Streptophyta	ECHabs92_Annex_IIb	Drepanocladus			(Hamatocaulis) vernicosus (Mitt.) Warnst. (o)	
Streptophyta	ECHabs92_Annex_IIb	Hygrohypnum montanum	Hygrohypnum		(Lindb.) Broth. (o)	
Streptophyta	ECHabs92_Annex_IIb	Jungermannia handelii	Jungermannia		(Schiffn.) Amak. (o)	
Streptophyta	ECHabs92_Annex_IIb	Scapania massolongi	Scapania		(K. Müll.) K. Müll. (o)	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Adonis distorta	Adonis		Ten.	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Allium grosii	Allium		Font Quer	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Anacamptis urvilleana	Anacamptis		Sommier et Caruana Gatto	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Apium bermejoi	Apium		Llorens	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Armeria helodes	Armeria		Martini & Pold	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Armeria neglecta	Armeria		Girard	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Artemisia pancicii	Artemisia		(Janka) Ronn.	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Asphodelus bento-rainhae	Asphodelus		P. Silva	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Aster pyrenaeus	Aster		Desf. ex DC	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Aster sorrentinii	Aster		(Tod) Lojac.	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Astragalus maritimus	Astragalus		Moris	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Astragalus tremolsianus	Astragalus		Pau	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Asyneuma giganteum	Asyneuma		(Boiss.) Bornm.	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Athamanta cortiana	Athamanta		Ferrarini	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Atractylis preauxiana	Atractylis		Schultz.	
