taxon_id	input	rank	suggested
1630287	Alyssum pyrenaicum	species	Hormathophylla pyrenaica
468249	Asplenium adulterinum	species	Asplenium x adulterinum
1219493	Astragalus centralpinus	species	Astragalus alopecurus
267522	Bassia saxicola	species	Eokochia saxicola
127601	Boleum asperum	species	Vella aspera
197134	Borderea chouardii	species	Dioscorea chouardii
481184	Caralluma burchardii	species	Apteranthes burchardii
372274	Carex malato-belizii	species	Carex lowei
40592	Centaurea balearica	species	Femeniasia balearica
400013	Coincya monensis subsp. cheiranthos	subspecies	Coincya monensis subsp. recurvata
267571	Convolvulus argyrothamnus	species	Convolvulus argyrothamnos
537156	Coronopus navasii	species	Lepidium navasii
71346	Crambe tataria	species	Crambe tatarica
880708	Cremnophyton lanfrancoi	species	Atriplex lanfrancoi
632932	Hyacinthoides vincentina	species	Hyacinthoides mauritanica
359854	Iberis arbuscula	species	Iberis sempervirens
2769829	Isoplexis chalcantha	species	Digitalis chalcantha
2769830	Isoplexis isabelliana	species	Digitalis isabelliana
104256	Jonopsidium acaule	species	Ionopsidium acaule
463661	Kunkeliella subsucculenta	species	Thesium subsucculentum
379627	Leontodon microcephalus	species	Scorzoneroides microcephala
197680	Leucojum nicaeense	species	Acis nicaeensis
586386	Linum muelleri	species	Linum maritimum
475894	Lithodora nitida	species	Glandora nitida
92057	Melanoselinum decipiens	species	Daucus decipiens
92059	Monizia edulis	species	Daucus edulis
262752	Myrica rivas-martinezii	species	Morella rivas-martinezii
317955	Omphalodes kuzinskyanae	species	Iberodes kuzinskyana
317961	Omphalodes littoralis	species	Iberodes littoralis
798011	Ononis hackelii	species	Ononis maweana
64992	Palaeocyanus crassifolius	species	Cheirolophus crassifolius
52490	Petagnia saniculifolia	species	Petagnaea gussonei
1440520	Pseudarrhenatherum pallens	species	Helictotrichon pallens
370734	Puccinellia pungens	species	Puccinellia fasciculata
387931	Pulsatilla patens	species	Anemone patens
445231	Pulsatilla slavica	species	Anemone slavica
571641	Rouya polygama	species	Daucus rouyi
354312	Serratula lycopifolia	species	Klasea lycopifolia
155258	Sideritis javalambrensis	species	Sideritis pungens
362629	Stemmacantha cynaroides	species	Rhaponticum canariense
50217	Sventenia bupleuroides	species	Sonchus bupleuroides
128001	Tanacetum ptarmiciflorum	species	Gonospermum ptarmiciflorum
373872	Thamnobryum fernandesii	species	Crassiphyllum fernandesii
1244033	Thorella verticillatinundata	species	Caropsis verticillatoinundata
85337	Trichomanes speciosum	species	Vandenboschia speciosa
566275	Tuberaria major	species	Tuberaria globulariifolia
1276821	Vicia bifoliolata	species	Vicia filicaulis
