taxon_id	input	rank	suggested
203779	Maculinea arion	species	Phengaris arion
203777	Maculinea nausithous	species	Phengaris nausithous
203778	Maculinea teleius	species	Phengaris teleius
235354	Nymphalis vaualbum	species	Nymphalis l-album
1618289	Scarabaeus quadridens	species	Pentodon quadridens
1904514	Stylurus flavipes	species	Gomphus flavipes
494514	Alopex lagopus	species	Vulpes lagopus
30326	Bufo calamita	species	Epidalea calamita
30338	Bufo viridis	species	Bufotes viridis
63294	Chalcides viridianus	species	Chalcides viridanus
271150	Coluber cypriensis	species	Dolichophis cypriensis
166086	Coluber hippocrepis	species	Hemorrhois hippocrepis
166089	Coluber jugularis	species	Dolichophis jugularis
166093	Coluber najadum	species	Platyceps najadum
166085	Coluber viridiflavus	species	Hierophis viridiflavus
348708	Coregonus oxyrhynchus	species	Coregonus oxyrinchus
1303476	Cyrtopodion kotschyi	species	Mediodactylus kotschyi
201439	Elaphe longissima	species	Zamenis longissimus
201442	Elaphe situla	species	Zamenis situla
30576	Erinaceus algirus	species	Atelerix algirus
30374	Euproctus asper	species	Calotriton asper
36317	Hydromantes ambrosii	species	Speleomantes ambrosii
57554	Hydromantes flavus	species	Speleomantes flavus
36318	Hydromantes genei	species	Speleomantes genei
482140	Hydromantes imperialis	species	Speleomantes imperialis
482143	Hydromantes strinatii	species	Speleomantes strinatii
37088	Hydromantes supramontis	species	Speleomantes supramontis
236479	Lacerta bedriagae	species	Archaeolacerta bedriagae
178819	Lacerta bonnali	species	Iberolacerta bonnali
651312	Lacerta danfordi	species	Anatololacerta danfordi
651318	Lacerta graeca	species	Hellenolacerta graeca
176666	Lacerta horvathi	species	Iberolacerta horvathi
129216	Mertensiella luschani	species	Lyciasalamandra luschani
1080239	Natrix natrix corsa	subspecies	Natrix helvetica corsa
672774	Ophisaurus apodus	species	Pseudopus apodus
219678	Phoxinus percnurus	species	Rhynchocypris percnurus
460621	Phyllodactylus europaeus	species	Euleptes europaea
9755	Physeter macrocephalus	species	Physeter catodon
65486	Podarcis wagleriana	species	Podarcis waglerianus
45623	Rana lessonae	species	Pelophylax lessonae
323755	Triturus italicus	species	Lissotriton italicus
323754	Triturus montandoni	species	Lissotriton montandoni
2109306	Discula testudinalis	species	Testudodiscula testudinalis
1182005	Gibbula nivosa	species	Steromphala nivosa
2698447	Margaritifera auricularia	species	Pseudunio auricularius
