taxId	organismName	commonName	assemblyAccession	assemblyName	bioProjectAccession	biosampleAccession	lastUpdated	submitter	totalSequenceLength (bp)	totalUngappedLength (bp)	numberOfSequence	L50	N50 (kb)
3076	Chlorella sorokiniana	NA	CNA0000825	Chlorella sorokiniana BD09	CNP0000212	CNS0018476	################	TIAN WU	53971092	53528437	920	4	4138
3076	Chlorella sorokiniana	NA	CNA0000826	Chlorella_BD08_genome	CNP0000212	CNS0018477	################	TIAN WU	58686758	57607318	1242	3	7790
3159	Pedinomonas minor	NA	CNA0042349	Pedinomonas_minor_pacbio	CNP0002569	CNS0493481	################	徐妍(Yan Xu)	54958539	54958539	97	10	2057
3159	Pedinomonas minor	NA	CNA0042350	Pedinomonas_minor_hic	CNP0002569	CNS0493481	################	徐妍(Yan Xu)	54966539	54958540	85	9	2407
2486357	Chlorella sp. Dachan	NA	CNA0000827	Chloralla_Dachan_genome	CNP0000212	CNS0018478	################	TIAN WU	60366751	57854269	2277	8	2575
3144	Chlorokybus atmophyticus	NA	CNA0002353	Chlorokybus_atmophyticus	CNP0000228	CNS0021447	################	Hongli Wang	74335726	72499844	3836	30	752
183314	Hariotina reticulata	NA	CNA0006823	Hariotina reticulata	CNP0000705	CNS0130456	################	平 红 梁	108000000	103000000	15219	101	290
795112	Coelastrum proboscideum	NA	CNA0014153	Assembly	CNP0000705	CNS0251945	################	平 红 梁	126000000	122000000	8357	485	60
7240	Drosophila simulans	NA	CNA0042493	Drosophila simulans	CNP0000670	CNS0515357	################	朱红亮	125000000	125000000	7619	3	23569
7229	Drosophila miranda	NA	CNA0042487	Drosophila miranda	CNP0000670	CNS0515351	################	朱红亮	137000000	135000000	6	3	28870
30044	Drosophila rubida	NA	CNA0017753	Drosophila rubida	CNP0000670	CNS0130145	################	朱红亮	140000000	139000000	20282	3	22872
7227	Drosophila melanogaster	fruit fly	CNA0042485	Drosophila melanogaster	CNP0000670	CNS0515349	################	朱红亮	144000000	143000000	1870	3	25286
7220	Drosophila erecta	NA	CNA0042480	Drosophila erecta	CNP0000670	CNS0515344	################	朱红亮	153000000	146000000	5124	4	18749
7215	unclassified Drosophila species	fruit flies	CNA0017747	Drosophila ironensis	CNP0000670	CNS0266997	################	朱红亮	151000000	149000000	66285	26	1518
7215	unclassified Drosophila species	fruit flies	CNA0017755	Drosophila setifemur	CNP0000670	CNS0266988	################	朱红亮	158000000	156000000	27937	4	16247
46245	Drosophila pseudoobscura pseudoobscura	NA	CNA0042490	Drosophila pseudoobscura	CNP0000670	CNS0515354	################	朱红亮	153000000	150000000	4790	4	12525
30025	Drosophila ficusphila	NA	CNA0042482	Drosophila ficusphila	CNP0000670	CNS0515346	################	朱红亮	153000000	152000000	5754	39	1052
29029	Drosophila eugracilis	NA	CNA0042481	Drosophila eugracilis	CNP0000670	CNS0515345	################	朱红亮	157000000	157000000	4946	40	976
244254	Drosophila bunnanda	NA	CNA0017745	Drosophila bunnanda	CNP0000670	CNS0130077	################	朱红亮	158000000	158000000	27245	18	2187
309927	Zaprionus bogoriensis	NA	CNA0017757	Zaprionus bogoriensis	CNP0000670	CNS0130174	################	朱红亮	160000000	158000000	19436	19	2910
7238	Drosophila sechellia	NA	CNA0042492	Drosophila sechellia	CNP0000670	CNS0515356	################	朱红亮	167000000	159000000	14730	13	2122
88886	Drosophila sulfurigaster	NA	CNA0017756	Drosophila sulfurigaster	CNP0000670	CNS0130167	################	朱红亮	162000000	160000000	32917	12	4524
46829	Drosophila birchii	NA	CNA0017744	Drosophila birchii	CNP0000670	CNS0130071	################	朱红亮	163000000	161000000	15996	7	6801
