organism_name	species_id	data_type	qv_score	error_rate	assembly_accession	size_mb	date	modify_date	taxid	bioproject_accession	bioproject_id	group	subgroup	gc%	replicons	wgs	scaffolds	genes	proteins	release_date	status	center	biosample_accession
Acanthisitta chloris	bAcaChl1	10x	36.1858	0.00024067	GCA_016904835.1	1077.39	05/17/18	2/17/21	57068	PRJNA561954	561954	Animals	Birds	42.404	chromosome 1:CM029183.1; chromosome 2:CM029184.1; chromosome 3:CM029185.1; chromosome 4:CM029186.1; chromosome 5:CM029187.1; chromosome 6:CM029188.1; chromosome 7:CM029189.1; chromosome 8:CM029190.1; chromosome 9:CM029191.1; chromosome 10:CM029192.1; chromosome 11:CM029193.1; chromosome 12:CM029194.1; chromosome 13:CM029195.1; chromosome 14:CM029196.1; chromosome 15:CM029197.1; chromosome 16:CM029198.1; chromosome 17:CM029199.1; chromosome 18:CM029200.1; chromosome 19:CM029201.1; chromosome 20:CM029202.1; chromosome 21:CM029203.1; chromosome 22:CM029204.1; chromosome 23:CM029205.1; chromosome 24:CM029206.1; chromosome 25:CM029207.1; chromosome 26:CM029208.1; chromosome 27:CM029209.1; chromosome 28:CM029210.1; chromosome 29:CM029211.1; chromosome 30:CM029212.1; chromosome 31:CM029213.1; chromosome 32:CM029214.1; chromosome 33:CM029215.1; chromosome 34:CM029216.1; chromosome 35:CM029217.1; chromosome 36:CM029218.1; chromosome W:CM029219.1; chromosome Z:CM029220.1; mitochondrion MT:CM029221.1	JAFCHQ01	206	-	-	2/10/21	Chromosome	Vertebrate Genomes Project	SAMN16442762
Accipiter gentilis	bAccGen1	10x	49.1099	1.23E-05	GCA_929443795.1	1398.01	05/31/19	2/9/22	8957	PRJEB50702	804808	Animals	Birds	43.7786	chromosome 1:NC_064880.1/OV839361.1; chromosome 2:NC_064881.1/OV839362.1; chromosome 3:NC_064882.1/OV839363.1; chromosome 4:NC_064883.1/OV839364.1; chromosome 5:NC_064884.1/OV839365.1; chromosome 6:NC_064885.1/OV839366.1; chromosome 7:NC_064886.1/OV839367.1; chromosome 8:NC_064887.1/OV839368.1; chromosome 9:NC_064888.1/OV839369.1; chromosome 10:NC_064889.1/OV839370.1; chromosome 11:NC_064890.1/OV839372.1; chromosome 12:NC_064891.1/OV839373.1; chromosome 13:NC_064892.1/OV839374.1; chromosome 14:NC_064893.1/OV839375.1; chromosome 15:NC_064894.1/OV839376.1; chromosome 16:NC_064895.1/OV839377.1; chromosome 17:NC_064896.1/OV839378.1; chromosome 18:NC_064897.1/OV839379.1; chromosome 19:NC_064898.1/OV839380.1; chromosome 20:NC_064899.1/OV839381.1; chromosome 21:NC_064900.1/OV839382.1; chromosome 22:NC_064901.1/OV839383.1; chromosome 23:NC_064902.1/OV839384.1; chromosome 24:NC_064903.1/OV839385.1; chromosome 25:NC_064904.1/OV839386.1; chromosome 26:NC_064905.1/OV839387.1; chromosome 27:NC_064906.1/OV839388.1; chromosome 28:NC_064907.1/OV839389.1; chromosome 29:NC_064908.1/OV839390.1; chromosome 30:NC_064909.1/OV839391.1; chromosome 31:NC_064910.1/OV839392.1; chromosome 32:NC_064911.1/OV839393.1; chromosome 33:NC_064912.1/OV839394.1; chromosome 34:NC_064913.1/OV839395.1; chromosome 35:NC_064914.1/OV839396.1; chromosome 36:NC_064915.1/OV839397.1; chromosome 37:NC_064916.1/OV839398.1; chromosome 38:NC_064917.1/OV839399.1; chromosome W:NC_064918.1/OV839371.1; chromosome Z:NC_064919.1/OV839360.1; mitochondrion MT:OV839400.1	CAKNBG01	454	19564	44815	2/9/22	Chromosome	WELLCOME SANGER INSTITUTE	SAMEA8235650
Acipenser ruthenus	fAciRut3.pat	10x	50.2222	9.50E-06	GCA_902713435.2	1882.65	05/31/19	2/26/22	7906	PRJEB35913	596974	Animals	Fishes	40.0903	chromosome 1:OV737682.1; chromosome 2:OV737683.1; chromosome 3:OV737684.1; chromosome 4:OV737685.1; chromosome 5:OV737686.1; chromosome 6:OV737687.1; chromosome 7:OV737688.1; chromosome 8:OV737689.1; chromosome 9:OV737690.1; chromosome 10:OV737691.1; chromosome 11:OV737692.1; chromosome 12:OV737693.1; chromosome 13:OV737694.1; chromosome 14:OV737695.1; chromosome 15:OV737696.1; chromosome 16:OV737697.1; chromosome 17:OV737698.1; chromosome 18:OV737699.1; chromosome 19:OV737700.1; chromosome 20:OV737701.1; chromosome 21:OV737702.1; chromosome 22:OV737703.1; chromosome 23:OV737704.1; chromosome 24:OV737705.1; chromosome 25:OV737706.1; chromosome 26:OV737707.1; chromosome 27:OV737708.1; chromosome 28:OV737709.1; chromosome 29:OV737710.1; chromosome 30:OV737711.1; chromosome 31:OV737712.1; chromosome 32:OV737713.1; chromosome 33:OV737714.1; chromosome 34:OV737715.1; chromosome 35:OV737716.1; chromosome 36:OV737717.1; chromosome 37:OV737718.1; chromosome 38:OV737719.1; chromosome 39:OV737720.1; chromosome 40:OV737721.1; chromosome 41:OV737722.1; chromosome 42:OV737723.1; chromosome 43:OV737724.1; chromosome 44:OV737725.1; chromosome 45:OV737726.1; chromosome 46:OV737727.1; chromosome 47:OV737728.1; chromosome 48:OV737729.1; chromosome 49:OV737730.1; chromosome 50:OV737731.1; chromosome 51:OV737732.1; chromosome 52:OV737733.1; chromosome 53:OV737734.1; chromosome 54:OV737735.1; chromosome 55:OV737736.1; chromosome 56:OV737737.1; chromosome 57:OV737738.1; chromosome 58:OV737739.1; chromosome 59:OV737740.1; chromosome 60:OV737741.1	CACTIF02	1517	-	-	1/5/20	Chromosome	Wellcome Sanger Institute	SAMEA5572864
Acipenser ruthenus	fAciRut3.mat	10x	49.8302	1.04E-05	GCA_902713425.2	1899.81	05/31/19	1/29/22	7906	PRJEB35912	596973	Animals	Fishes	40.1018	chromosome 1:OV754670.1; chromosome 2:OV754671.1; chromosome 3:OV754672.1; chromosome 4:OV754673.1; chromosome 5:OV754674.1; chromosome 6:OV754675.1; chromosome 7:OV754676.1; chromosome 8:OV754677.1; chromosome 9:OV754678.1; chromosome 10:OV754679.1; chromosome 11:OV754680.1; chromosome 12:OV754681.1; chromosome 13:OV754682.1; chromosome 14:OV754683.1; chromosome 15:OV754684.1; chromosome 16:OV754624.1; chromosome 17:OV754625.1; chromosome 18:OV754626.1; chromosome 19:OV754627.1; chromosome 20:OV754628.1; chromosome 21:OV754629.1; chromosome 22:OV754630.1; chromosome 23:OV754631.1; chromosome 24:OV754632.1; chromosome 25:OV754633.1; chromosome 26:OV754634.1; chromosome 27:OV754635.1; chromosome 28:OV754636.1; chromosome 29:OV754637.1; chromosome 30:OV754638.1; chromosome 31:OV754639.1; chromosome 32:OV754640.1; chromosome 33:OV754641.1; chromosome 34:OV754642.1; chromosome 35:OV754643.1; chromosome 36:OV754644.1; chromosome 37:OV754645.1; chromosome 38:OV754646.1; chromosome 39:OV754647.1; chromosome 40:OV754648.1; chromosome 41:OV754649.1; chromosome 42:OV754650.1; chromosome 43:OV754651.1; chromosome 44:OV754652.1; chromosome 45:OV754653.1; chromosome 46:OV754654.1; chromosome 47:OV754655.1; chromosome 48:OV754656.1; chromosome 49:OV754657.1; chromosome 50:OV754658.1; chromosome 51:OV754659.1; chromosome 52:OV754660.1; chromosome 53:OV754661.1; chromosome 54:OV754662.1; chromosome 55:OV754663.1; chromosome 56:OV754664.1; chromosome 57:OV754665.1; chromosome 58:OV754666.1; chromosome 59:OV754667.1; chromosome 60:OV754668.1; mitochondrion MT:OV754669.1	CACTIG02	1731	-	-	1/5/20	Chromosome	Wellcome Sanger Institute	SAMEA5572864
Acridotheres tristis	bAcrTri1	Pacbio_hifi	41.8863	6.48E-05	GCA_027559615.1	1193.42	03/18/21	1/3/23	279927	PRJNA839507	839507	Animals	Birds	42.3267	chromosome 1:CM050531.1; chromosome 2:CM050532.1; chromosome 3:CM050533.1; chromosome 4:CM050534.1; chromosome 5:CM050535.1; chromosome 6:CM050536.1; chromosome 7:CM050537.1; chromosome 8:CM050538.1; chromosome 9:CM050539.1; chromosome 10:CM050540.1; chromosome 11:CM050541.1; chromosome 12:CM050542.1; chromosome 13:CM050543.1; chromosome 14:CM050544.1; chromosome 15:CM050545.1; chromosome 16:CM050546.1; chromosome 17:CM050547.1; chromosome 18:CM050548.1; chromosome 19:CM050549.1; chromosome 20:CM050550.1; chromosome 21:CM050551.1; chromosome 22:CM050552.1; chromosome 23:CM050553.1; chromosome 24:CM050554.1; chromosome 25:CM050555.1; chromosome 26:CM050556.1; chromosome 27:CM050557.1; chromosome 28:CM050558.1; chromosome 29:CM050559.1; chromosome 30:CM050560.1; chromosome 31:CM050561.1; chromosome 32:CM050562.1; chromosome 33:CM050563.1; chromosome 34:CM050564.1; chromosome 35:CM050565.1; chromosome 36:CM050566.1; chromosome 37:CM050567.1; chromosome Z:CM050568.1; mitochondrion MT:CM050619.1	JAPZMO01	455	-	-	1/3/23	Chromosome	Vertebrate Genomes Project	SAMN28454388
Alca torda	bAlcTor1	10x	37.5282	0.00017668	GCA_008658365.1	1178.49	06/26/18	10/10/19	28689	PRJNA554520	554520	Animals	Birds	42.6892	chromosome 1:CM018076.1; chromosome 2:CM018077.1; chromosome 3:CM018078.1; chromosome 4:CM018079.1; chromosome 5:CM018080.1; chromosome 6:CM018081.1; chromosome 7:CM018082.1; chromosome 8:CM018083.1; chromosome 9:CM018084.1; chromosome 10:CM018085.1; chromosome 11:CM018086.1; chromosome 12:CM018087.1; chromosome 13:CM018088.1; chromosome 14:CM018089.1; chromosome 15:CM018090.1; chromosome 16:CM018091.1; chromosome 17:CM018092.1; chromosome 18:CM018093.1; chromosome 19:CM018094.1; chromosome 20:CM018095.1; chromosome 21:CM018096.1; chromosome 22:CM018097.1; chromosome 23:CM018098.1; chromosome 24:CM018099.1; chromosome 25:CM018100.1; chromosome Z:CM018101.1; mitochondrion MT:CM018102.1	VMED01	95	-	-	9/23/19	Chromosome	G10K	SAMN12292087
Alosa sapidissima	fAloSap1	Pacbio_hifi	53.265	4.72E-06	GCA_018492685.1	903.582	5/25/21	5/25/21	34773	PRJNA736150	736150	Animals	Fishes	43.2182	chromosome 1:NC_055957.1/CM031716.1; chromosome 2:NC_055958.1/CM031717.1; chromosome 3:NC_055959.1/CM031718.1; chromosome 4:NC_055960.1/CM031719.1; chromosome 5:NC_055961.1/CM031720.1; chromosome 6:NC_055962.1/CM031721.1; chromosome 7:NC_055963.1/CM031722.1; chromosome 8:NC_055964.1/CM031723.1; chromosome 9:NC_055965.1/CM031724.1; chromosome 10:NC_055966.1/CM031725.1; chromosome 11:NC_055967.1/CM031726.1; chromosome 12:NC_055968.1/CM031727.1; chromosome 13:NC_055969.1/CM031728.1; chromosome 14:NC_055970.1/CM031729.1; chromosome 15:NC_055971.1/CM031730.1; chromosome 16:NC_055972.1/CM031731.1; chromosome 17:NC_055973.1/CM031732.1; chromosome 18:NC_055974.1/CM031733.1; chromosome 19:NC_055975.1/CM031734.1; chromosome 20:NC_055976.1/CM031735.1; chromosome 21:NC_055977.1/CM031736.1; chromosome 22:NC_055978.1/CM031737.1; chromosome 23:NC_055979.1/CM031738.1; chromosome 24:NC_055980.1/CM031739.1; mitochondrion MT:NC_014690.1/	JAHDTN01	74	47628	56007	5/24/21	Chromosome	NCBI	SAMN18857608
Amblyraja radiata	sAmbRad1	Illumina	39.2952	0.000117621	GCA_010909765.2	2558.78	11/29/19	3/30/21	386614	PRJNA610638	610638	Animals	Fishes	44.7139	chromosome 1:NC_045956.1/CM021366.1; chromosome 2:NC_045957.1/CM021367.1; chromosome 3:NC_045958.1/CM021368.1; chromosome 4:NC_045959.1/CM021369.1; chromosome 5:NC_045960.1/CM021370.1; chromosome 6:NC_045961.1/CM021371.1; chromosome 7:NC_045962.1/CM021372.1; chromosome 8:NC_045963.1/CM021373.1; chromosome 9:NC_045964.1/CM021374.1; chromosome 10:NC_045965.1/CM021375.1; chromosome 11:NC_045966.1/CM021376.1; chromosome 12:NC_045967.1/CM021377.1; chromosome 13:NC_045968.1/CM021378.1; chromosome 14:NC_045969.1/CM021379.1; chromosome 15:NC_045970.1/CM021380.1; chromosome 16:NC_045971.1/CM021381.1; chromosome 17:NC_045972.1/CM021382.1; chromosome 18:NC_045973.1/CM021383.1; chromosome 19:NC_045974.1/CM021384.1; chromosome 20:NC_045975.1/CM021385.1; chromosome 21:NC_045976.1/CM021386.1; chromosome 22:NC_045977.1/CM021387.1; chromosome 23:NC_045978.1/CM021388.1; chromosome 24:NC_045979.1/CM021389.1; chromosome 25:NC_045980.1/CM021390.1; chromosome 26:NC_045981.1/CM021391.1; chromosome 27:NC_045982.1/CM021392.1; chromosome 28:NC_045983.1/CM021393.1; chromosome 29:NC_045984.1/CM021394.1; chromosome 30:NC_045985.1/CM021395.1; chromosome 31:NC_045986.1/CM021396.1; chromosome 32:NC_045987.1/CM021397.1; chromosome 33:NC_045988.1/CM021398.1; chromosome 34:NC_045989.1/CM021399.1; chromosome 35:NC_045990.1/CM021400.1; chromosome 36:NC_045991.1/CM021401.1; chromosome 37:NC_045992.1/CM021402.1; chromosome 38:NC_045993.1/CM021403.1; chromosome 39:NC_045994.1/CM021404.1; chromosome 40:NC_045995.1/CM021405.1; chromosome 41:NC_045996.1/CM021406.1; chromosome 42:NC_045997.1/CM021407.1; chromosome 43:NC_045998.1/CM021408.1; chromosome 45:NC_046000.1/CM021410.1; chromosome 46:NC_046001.1/CM021411.1; chromosome 47:NC_046002.1/CM021412.1; chromosome 48:NC_046003.1/CM021413.1; chromosome 49:NC_046004.1/CM021414.1; chromosome X:NC_045999.1/CM021409.1; mitochondrion MT:CM021416.1	JAAGWR01	957	25978	38895	2/14/20	Chromosome	NCBI	SAMN09948523
Ammodramus caudacutus	bAmmCau1	Pacbio_hifi	63.1477	4.84E-07	GCA_027887145.1	1241.21	10/26/21	1/18/23	69262	PRJNA839452	839452	Animals	Birds	43.4807	chromosome 1:CM051183.1; chromosome 2:CM051184.1; chromosome 3:CM051185.1; chromosome 4:CM051186.1; chromosome 5:CM051187.1; chromosome 6:CM051188.1; chromosome 7:CM051189.1; chromosome 8:CM051190.1; chromosome 9:CM051191.1; chromosome 10:CM051192.1; chromosome 11:CM051193.1; chromosome 12:CM051194.1; chromosome 13:CM051195.1; chromosome 14:CM051196.1; chromosome 15:CM051197.1; chromosome 16:CM051198.1; chromosome 17:CM051199.1; chromosome 18:CM051200.1; chromosome 19:CM051201.1; chromosome 20:CM051202.1; chromosome 21:CM051203.1; chromosome 22:CM051204.1; chromosome 23:CM051205.1; chromosome 24:CM051206.1; chromosome 25:CM051207.1; chromosome 26:CM051208.1; chromosome 27:CM051209.1; chromosome 28:CM051210.1; chromosome 29:CM051211.1; chromosome 30:CM051212.1; chromosome 31:CM051213.1; chromosome 32:CM051214.1; chromosome 33:CM051215.1; chromosome 34:CM051216.1; chromosome 35:CM051217.1; chromosome 36:CM051218.1; chromosome 37:CM051219.1; chromosome 38:CM051220.1; chromosome 39:CM051221.1; chromosome Z:CM051222.1	JAQIHB01	282	-	-	1/17/23	Chromosome	Vertebrate Genomes Project	SAMN28421630
Ammospiza nelsoni	bAmmNel1	Pacbio_hifi	63.0355	4.97E-07	GCA_027579445.1	1185.46	11/01/21	1/6/23	2857394	PRJNA839456	839456	Animals	Birds	43.0269	chromosome 1:CM050581.1; chromosome 2:CM050582.1; chromosome 3:CM050583.1; chromosome 4:CM050584.1; chromosome 5:CM050585.1; chromosome 6:CM050586.1; chromosome 7:CM050587.1; chromosome 8:CM050588.1; chromosome 9:CM050589.1; chromosome 10:CM050590.1; chromosome 11:CM050591.1; chromosome 12:CM050592.1; chromosome 13:CM050593.1; chromosome 14:CM050594.1; chromosome 15:CM050595.1; chromosome 16:CM050596.1; chromosome 17:CM050597.1; chromosome 18:CM050598.1; chromosome 19:CM050599.1; chromosome 20:CM050600.1; chromosome 21:CM050601.1; chromosome 22:CM050602.1; chromosome 23:CM050603.1; chromosome 24:CM050604.1; chromosome 25:CM050605.1; chromosome 26:CM050606.1; chromosome 27:CM050607.1; chromosome 28:CM050608.1; chromosome 29:CM050609.1; chromosome 30:CM050610.1; chromosome 31:CM050611.1; chromosome 32:CM050612.1; chromosome 33:CM050613.1; chromosome 34:CM050614.1; chromosome 35:CM050615.1; chromosome W:CM050616.1; chromosome Z:CM050617.1	JAQCNT01	77	-	-	1/6/23	Chromosome	Vertebrate Genomes Project	SAMN28421656
