assembly_accession	organism_name	Assembly_BioProject_Lineage_Accession	Assembly BioProject Lineage Title	project	sequencing_status
GCA_024516045.2	Bombus affinis	PRJNA923301	Beenome100	i5K	insdc_open
GCA_000188095.4	Bombus impatiens	PRJNA61101	Bombus impatiens genome sequencing project	i5K	insdc_open
GCA_000233415.2	Drosophila biarmipes	PRJNA63477	modENCODE Drosophila reference genome sequencing	i5K	insdc_open
GCA_000236285.2	Drosophila bipectinata	PRJNA63477	modENCODE Drosophila reference genome sequencing	i5K	insdc_open
GCA_000224195.2	Drosophila elegans	PRJNA63477	modENCODE Drosophila reference genome sequencing	i5K	insdc_open
GCA_000236325.2	Drosophila eugracilis	PRJNA63477	modENCODE Drosophila reference genome sequencing	i5K	insdc_open
GCA_000220665.2	Drosophila ficusphila	PRJNA63477	modENCODE Drosophila reference genome sequencing	i5K	insdc_open
GCA_000224215.2	Drosophila kikkawai	PRJNA63477	modENCODE Drosophila reference genome sequencing	i5K	insdc_open
GCA_000236305.2	Drosophila rhopaloa	PRJNA63477	modENCODE Drosophila reference genome sequencing	i5K	insdc_open
GCA_000224235.2	Drosophila takahashii	PRJNA63477	modENCODE Drosophila reference genome sequencing	i5K	insdc_open
GCA_014839805.1	Manduca sexta	PRJNA658700	De novo genome assembly of the Tobacco Hornworm moth (Manduca sexta)	i5K	insdc_open
GCA_000149185.1	Mayetiola destructor	PRJNA45867	Mayetiola destructor genome sequencing project	i5K	insdc_open
GCA_021461395.2	Schistocerca americana	PRJNA772722	Whole genome sequencing and chromosome-level assembly for six Schistocerca species (Orthoptera: Acrididae)	i5K	insdc_open
GCA_023864275.2	Schistocerca cancellata	PRJNA772722	Whole genome sequencing and chromosome-level assembly for six Schistocerca species (Orthoptera: Acrididae)	i5K	insdc_open
GCA_023898315.2	Schistocerca nitens	PRJNA772722	Whole genome sequencing and chromosome-level assembly for six Schistocerca species (Orthoptera: Acrididae)	i5K	insdc_open
GCA_021461385.2	Schistocerca piceifrons	PRJNA772722	Whole genome sequencing and chromosome-level assembly for six Schistocerca species (Orthoptera: Acrididae)	i5K	insdc_open
GCA_002532875.1	Varroa jacobsoni	PRJNA772720	Genomic comparison of the sister species V. destructor and V. jacobsoni mite	i5K	insdc_open
GCA_001937115.1	Aethina tumida	PRJNA256171	Aethina tumida Genome sequencing and assembly	i5K	insdc_open
GCA_001186105.1	Amyelois transitella	PRJNA254820	Amyelois transitella strain:UIUC subculture of SPIRL-1966 Genome sequencing and assembly	i5K	insdc_open
GCA_000789215.2	Bactrocera dorsalis	PRJNA208413	Bactrocera dorsalis strain:Punador Genome sequencing and assembly	i5K	insdc_open
GCA_001188975.4	Bactrocera oleae	PRJNA288990	Bactrocera oleae isolate:Demokritus Genome sequencing and assembly	i5K	insdc_open
GCA_001854935.1	Bemisia tabaci	PRJNA312470	Whitefly (Bemisia tabaci) MEAM1 genome sequencing	i5K	insdc_open
GCA_014529535.2	Bradysia coprophila	PRJNA291918	Bradysia coprophila strain:Holo2 and endosymbiont Genome sequencing and assembly	i5K	insdc_open
GCA_000341935.2	Cephus cinctus	PRJNA168335	Wheatstem sawfly Cephus cinctus Genome Sequencing	i5K	insdc_open
GCA_013357705.1	Chelonus insularis	PRJNA624215	Chelonus insularis isolate:UGA/USDA-ARS -01 Genome sequencing and assembly	i5K	insdc_open
GCA_002778355.1	Clitarchus hookeri	PRJNA395945	Clitarchus hookeri Genome and transcriptome sequencing project	i5K	insdc_open
GCA_009176525.2	Contarinia nasturtii	PRJNA565389	Contarinia nasturtii isolate:CC-2019 Genome sequencing and assembly	i5K	insdc_open
GCA_001412515.3	Diachasma alloeum	PRJNA284396	Diachasma alloeum isolate:Michigan Genome sequencing and assembly	i5K	insdc_open
GCA_000475195.1	Diaphorina citri	PRJNA29447	Asian citrus psyllid genome sequencing project	i5K	insdc_open
GCA_001272555.1	Dufourea novaeangliae	PRJNA279825	Dufourea novaeangliae isolate:0120121106 Genome sequencing and assembly	i5K	insdc_open
GCA_001483705.1	Eufriesea mexicana	PRJNA279814	Eufriesea mexicana isolate:0111107269 Genome sequencing and assembly	i5K	insdc_open
GCA_002201625.1	Euglossa dilemma	PRJNA388474	Euglossa dilemma isolate:1 Genome sequencing and assembly	i5K	insdc_open
GCA_000806365.1	Fopius arisanus	PRJNA258104	Fopius arisanus strain:USDA-PBARC FA_bdor Genome sequencing and assembly	i5K	insdc_open
GCA_003640425.2	Galleria mellonella	PRJNA494147	Galleria mellonella isolate:Carbio01_MB Genome sequencing and assembly	i5K	insdc_open
GCA_001263275.1	Habropoda laboriosa	PRJNA279436	Habropoda laboriosa Genome sequencing and assembly	i5K	insdc_open
GCA_002382865.2	Heliothis virescens	PRJNA379496	Heliothis virescens Genome sequencing and assembly	i5K	insdc_open
GCA_002738285.1	Holacanthella duospinosa	PRJNA384703	New Zealand giant collembola (Holacanthella duospinosa) genome and transcriptome sequencing project	i5K	insdc_open
GCA_003335185.2	Laodelphax striatellus	PRJNA393384	Laodelphax striatellus isolate:Lst14 Genome sequencing and assembly	i5K	insdc_open
GCA_015586225.1	Lucilia sericata	PRJNA602506	Lucilia sericata Genome Assembly and Differential Expression Analysis	i5K	insdc_open
GCA_002192655.3	Mamestra configurata	PRJNA380242	Mamestra configurata isolate:AAFC colony Genome sequencing and assembly	i5K	insdc_open
GCA_003012365.1	Medauroidea extradentata	PRJNA369247	Medauroidea extradentata isolate:BJ-2015 Genome sequencing and assembly	i5K	insdc_open
GCA_000220905.1	Megachile rotundata	PRJNA66515	Megachile rotundata genome sequencing project	i5K	insdc_open
GCA_001276565.1	Melipona quadrifasciata	PRJNA279820	Melipona quadrifasciata isolate:0111107301 Genome sequencing and assembly	i5K	insdc_open
GCA_000572035.2	Microplitis demolitor	PRJNA195937	Microplitis demolitor strain:Queensland-Clemson subculture Genome sequencing and assembly	i5K	insdc_open
GCA_001263575.2	Neodiprion lecontei	PRJNA280451	Neodiprion lecontei Genome sequencing and assembly	i5K	insdc_open
GCA_001412225.1	Nicrophorus vespilloides	PRJNA284849	Nicrophorus vespilloides Genome sequencing and assembly	i5K	insdc_open
GCA_005281655.2	Nylanderia fulva	PRJNA517949	Nylanderia fulva isolate:TAMU-Nful-2015 Genome sequencing and assembly	i5K	insdc_open
GCA_010583005.1	Odontomachus brunneus	PRJNA432980	Odontomachus brunneus whole genome sequencing	i5K	insdc_open
GCA_012274295.1	Osmia lignaria	PRJNA553797	Osmia lignaria Genome sequencing and assembly	i5K	insdc_open
GCA_008802855.1	Photinus pyralis	PRJNA378805	Sequencing and de novo assembly of the Photinus pyralis genome	i5K	insdc_open
GCA_002176555.1	Rhipicephalus microplus	PRJNA312025	Rhipicephalus microplus and endosymbiont	i5K	insdc_open
GCA_007210705.1	Tigriopus californicus	PRJNA237968	Tigriopus californicus strain:San Diego Genome sequencing and assembly	i5K	insdc_open
GCA_015345945.1	Tribolium madens	PRJNA668153	Tribolium madens strain:KSU Genome sequencing and assembly	i5K	insdc_open
GCA_019457755.1	Venturia canescens	PRJNA736740	Venturia canescens isolate:UGA Genome sequencing and assembly	i5K	insdc_open
GCA_000806345.2	Zeugodacus cucurbitae	PRJNA259565	Zeugodacus cucurbitae strain:USDA-PBARC White Pupae T1 Genome sequencing and assembly	i5K	insdc_open
