taxId	organismName	genbankAssmAccession	bioProjectAccession	project
9509	Ateles geoffroyi	GCA_023783555.1	PRJNA785018;PRGP;EBP	PRGP
9514	Cebus albifrons	GCA_023783575.1	PRJNA785018;PRGP;EBP	PRGP
867370	Cercopithecus albogularis	GCA_023783535.1	PRJNA785018;PRGP;EBP	PRGP
9534	Chlorocebus aethiops	GCA_023783515.1	PRJNA785018;PRGP;EBP	PRGP
33548	Colobus guereza	GCA_021498455.1	PRJNA785018;PRGP;EBP	PRGP
31869	Daubentonia madagascariensis	GCA_023783475.1	PRJNA785018;PRGP;EBP	PRGP
9538	Erythrocebus patas	GCA_023783455.1	PRJNA785018;PRGP;EBP	PRGP
30609	Galago moholi	GCA_023783435.1	PRJNA785018;PRGP;EBP	PRGP
593543	Hoolock leuconedys	GCA_023748175.1	PRJNA785018;PRGP;EBP	PRGP
9589	Hylobates pileatus	GCA_021498465.1	PRJNA785018;PRGP;EBP	PRGP
9447	Lemur catta	GCA_023759835.1	PRJNA785018;PRGP;EBP	PRGP
9468	Loris tardigradus	GCA_023783135.1	PRJNA785018;PRGP;EBP	PRGP
75566	Lophocebus aterrimus	GCA_023783235.1	PRJNA785018;PRGP;EBP	PRGP
9551	Macaca assamensis	GCA_023783095.1	PRJNA785018;PRGP;EBP	PRGP
54601	Macaca silenus	GCA_023807365.1	PRJNA785018;PRGP;EBP	PRGP
9561	Mandrillus sphinx	GCA_023783085.1	PRJNA785018;PRGP;EBP	PRGP
9568	Mandrillus leucophaeus	GCA_023783495.1	PRJNA785018;PRGP;EBP	PRGP
9586	Nomascus siki	GCA_023783065.1	PRJNA785018;PRGP;EBP	PRGP
261741	Nycticebus bengalensis	GCA_023898255.1	PRJNA785018;PRGP;EBP	PRGP
9557	Papio hamadryas	GCA_023781915.1	PRJNA785018;PRGP;EBP	PRGP
43777	Pithecia pithecia	GCA_023779675.1	PRJNA785018;PRGP;EBP	PRGP
9600	Pongo pygmaeus	GCA_023767775.1	PRJNA785018;PRGP;EBP	PRGP
310352	Pygathrix nigripes	GCA_023764695.1	PRJNA785018;PRGP;EBP	PRGP
1194336	Rhinopithecus strykeri	GCA_023764705.1	PRJNA785018;PRGP;EBP	PRGP
30586	Saguinus midas	GCA_021498475.1	PRJNA785018;PRGP;EBP	PRGP
9515	Sapajus apella	GCA_023762875.2	PRJNA785018;PRGP;EBP	PRGP
9590	Symphalangus syndactylus	GCA_023761135.1	PRJNA785018;PRGP;EBP	PRGP
272121	Trachypithecus phayrei crepuscula	GCA_023762245.1	PRJNA785018;PRGP;EBP	PRGP
