Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Drosophila melanogaster	fruit fly		7227	Release 6 plus ISO1 MT	GCA_000001215.4	GenBank	From INSDC submitter	Chromosome	21485538	143706478	2014-08-01	17868	PRJNA13812	SAMN02803731
Homo sapiens	human		9606	GRCh38.p13	GCA_000001405.28	GenBank		Chromosome	57879411	3099734149	2019-02-28		PRJNA31257	
Pan troglodytes	chimpanzee	isolate: Yerkes chimp pedigree #C0471 (Clint), sex: male	9598	Pan_tro 3.0	GCA_000001515.5	GenBank		Chromosome	384816	3231154112	2016-05-03		PRJNA13184	SAMN02981217
Pongo abelii	Sumatran orangutan	isolate: ISIS 71, sex: female	9601	P_pygmaeus_2.0.2	GCA_000001545.3	GenBank		Chromosome	15652	3437863358	2008-11-13		PRJNA20869	SAMN02981238
Mus musculus	house mouse	strain: C57BL/6J	10090	GRCm39	GCA_000001635.9	GenBank		Chromosome	59462871	2728206152	2020-06-24		PRJNA20689	
Arabidopsis thaliana	thale cress	ecotype: Columbia	3702	TAIR10.1	GCA_000001735.2	GenBank	From INSDC submitter	Chromosome	11194537	119146348	2018-03-15	38050	PRJNA10719	SAMN03081427
Drosophila pseudoobscura pseudoobscura		strain: MV2-25	46245	Dpse_4.0	GCA_000001765.3	GenBank		Chromosome	26005469	164662283	2018-06-28		PRJNA10626	SAMN00779672
Rattus norvegicus	Norway rat	sex: pooled males and females, strain: mixed	10116	Rnor_6.0	GCA_000001895.4	GenBank		Chromosome	100461	2870167880	2014-07-01		PRJNA10629	SAMN02808228
Loxodonta africana	African savanna elephant	isolate: ISIS603380, sex: female	9785	Loxafr3.0	GCA_000001905.1	GenBank		Scaffold	69023	3196738035	2009-07-15		PRJNA12569	SAMN02953622
Talaromyces marneffei ATCC 18224		strain: ATCC 18224	441960	JCVI-PMFA1-2.0	GCA_000001985.1	GenBank	From INSDC submitter	Scaffold	541514	28643865	2008-10-29	10138	PRJNA19555	SAMN02953685
Danio rerio	zebrafish	strain: Tuebingen	7955	GRCz10	GCA_000002035.3	GenBank		Chromosome	1258148	1371702787	2014-09-02		PRJNA11776	SAMN03020626
Danio rerio	zebrafish	strain: Tuebingen	7955	GRCz11	GCA_000002035.4	GenBank		Chromosome	1422317	1373454788	2017-05-09		PRJNA11776	SAMN06930106
Aplysia californica	California sea hare	isolate: F4 #8, sex: hermaphrodite	6500	AplCal3.0	GCA_000002075.2	GenBank		Scaffold	9584	927296314	2013-05-15		PRJNA13635	SAMN02953658
